method,common_horizon_macro_f1,common_horizon_energy,completed_round_fraction,protocol_total_energy,pareto_nondominated_three_objective,method_label
arl_fl,0.4337036802019841,16.3753316179177,1.0,16.52459876491024,True,ARL-FL
fedavg,0.3700119471557997,17.294085515023852,0.9984999999999999,17.41130930006087,False,FedAvg
fedle_adapted,0.3491097259436307,16.781804714973877,1.0,17.5076182987016,False,FedLE-adapted
fedprox,0.37565422631384704,17.294085515023852,0.9984999999999999,17.41130930006087,False,FedProx
random_trimmed_mean,0.4158726604562964,17.294085515023852,0.9984999999999999,17.41130930006087,False,Random Trimmed Mean
tea_fl,0.5152573673930659,15.204602471419623,0.9944,15.263593121265279,True,TEA-FL
