run_id,condition_id,outer_fold,outer_test_subject,alpha,scenario,attack,malicious_count,method,fl_seed,model_seed,random_schedule_seed,early_stop_round,completed_training_rounds,loss,accuracy,balanced_accuracy,macro_f1,first_client_dropout_round,active_client_lifetime_75pct,active_client_lifetime_50pct,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_file_manifest_sha256,run_manifest_entries,class_00_f1,class_01_f1,class_02_f1,class_03_f1,class_04_f1,class_05_f1,class_06_f1,class_07_f1,class_08_f1,class_09_f1,class_10_f1,class_11_f1,energy_per_completed_round,completed_round_fraction,minimum_completed_round,common_horizon_round,initial_mean_residual_energy,common_horizon_macro_f1,common_horizon_mean_residual_energy,common_horizon_energy
365,61,4,106,1.0,clean,none,0,tea_fl,123,213424618,686063111,,100,0.5740585172355206,0.7982410760475944,0.735213089604569,0.7374395574805748,40.0,80,100,15,0.2992371333640525,0.0817338390358771,15.64439781060114,0.7520776144098071,5301,E49465FD1B45DDD5D8AE668B85BC021E409B6D90A47C87626E30E2A9AF5F2601,4D509FA73153B1B9F6141BFD44697072A65B62F8D974568AEF8A098AC0C8D142,11,0.9252873563218392,0.4928909952606635,0.3413173652694611,0.9717223650385604,0.9649122807017544,0.8993288590604027,0.9759615384615384,0.8585858585858586,0.8695652173913043,0.7139364303178484,0.8357664233576643,0.0,0.1564439781060114,1.0,100,100,0.8579656265998077,0.7374395574805748,0.2992371333640525,15.644397810601147
366,61,4,106,1.0,clean,none,0,arl_fl,123,213424618,686063111,,100,0.5195505079199968,0.8101396792550439,0.7453630988252025,0.727074118871892,70.0,100,100,25,0.2736951442590883,0.0860133561125538,16.35957350554014,0.8841537543378793,5602,D94A29BE0924800B1ADE5975521810C0B8AD1C9B16935F5175B1732598488299,5CF2990226B68C04BD5BD274315D696597125E2888F19314AC248853B9AE4A66,11,0.8919667590027701,0.0,0.5723577235772358,0.9769820971867008,0.967930029154519,0.9308176100628932,0.9783132530120482,0.8756218905472637,0.8903225806451613,0.8091168091168092,0.8314606741573034,0.0,0.1635957350554014,1.0,100,100,0.8579656265998077,0.727074118871892,0.2736951442590883,16.359573505540144
367,62,4,106,1.0,clean,none,0,fedavg,456,19602983,791551251,,100,0.5814412632293178,0.7889291257113296,0.725322743985824,0.7157006777370624,100.0,100,100,23,0.2309992968712212,0.0754052358239389,17.106355157979383,0.9832720836764544,6017,A023E39ABDDB01A94035D01AE553BF35171644E807882042A153CC565B15E38B,51C2823855ED416E3EA18A47DFF700EC02868FCFFE08F0E2E31C80F2A51AD64A,11,0.9302325581395348,0.0609137055837563,0.5445378151260504,0.96,0.967930029154519,0.8191881918819188,0.9802955665024632,0.8775510204081632,0.8974358974358975,0.7216981132075472,0.8286252354048964,0.0,0.17106355157979383,1.0,100,100,0.8419405525133421,0.7157006777370624,0.2309992968712212,17.106355157979383
368,62,4,106,1.0,clean,none,0,fedprox,456,19602983,791551251,,100,0.5770595037545556,0.8132436627004656,0.7457072484984657,0.7493568427851925,100.0,100,100,23,0.2309992968712212,0.0754052358239389,17.106355157979383,0.9832720836764544,6017,F2FE2AB110397068C4A0E2A87488909B960D12AF1C310A58F9CE5A19978C3BB7,BF48BACAEFDA6FB631472221DBB89897166CFBA781CE8223DE292236B34583C3,11,0.9333333333333332,0.4232365145228215,0.5905797101449275,0.9672544080604534,0.9649122807017544,0.8104089219330854,0.9828009828009828,0.864321608040201,0.8961038961038961,0.7203791469194313,0.8389513108614233,0.0,0.17106355157979383,1.0,100,100,0.8419405525133421,0.7493568427851925,0.2309992968712212,17.106355157979383
369,62,4,106,1.0,clean,none,0,random_trimmed_mean,456,19602983,791551251,,100,0.5889760605640135,0.7811691670977755,0.716764667949846,0.7087496256287982,100.0,100,100,23,0.2309992968712212,0.0754052358239389,17.106355157979383,0.9832720836764544,6017,8F2DF61966AECB9083508E8FF497714CC8F82886867FBF679B89F71D11EA3286,FE62537334F0522EB969E2F053E06707D5F7097795FE1BCF99A0B58491FBFCD4,11,0.9302325581395348,0.0932642487046632,0.5486111111111112,0.964824120603015,0.967930029154519,0.754863813229572,0.9802955665024632,0.875,0.8974358974358975,0.6859688195991092,0.8065693430656934,0.0,0.17106355157979383,1.0,100,100,0.8419405525133421,0.7087496256287982,0.2309992968712212,17.106355157979383
370,62,4,106,1.0,clean,none,0,fedle_adapted,456,19602983,791551251,,100,0.6012299400433875,0.793067770305225,0.7341749131655634,0.7317838830016203,75.0,95,100,19,0.2285282798055292,0.0802136589062136,17.175543635818762,0.9131169246221978,6065,8CB846048F720FC53581FD4DB74C69693CF098B796A89348A1F47A5176657742,388265363B258569DF14512D05D1B639202440424E6DA982A5A0C6D82A86A63B,15,0.935672514619883,0.5574572127139364,0.4248704663212435,0.912,0.967930029154519,0.9205298013245032,0.9754901960784312,0.8137254901960784,0.7526881720430108,0.7085427135678392,0.8125,0.0,0.17175543635818763,1.0,100,100,0.8221525907430006,0.7317838830016203,0.2285282798055292,16.6214807062492
371,62,4,106,1.0,clean,none,0,tea_fl,456,19602983,791551251,,100,0.6123736277800795,0.793585100879462,0.7217444887151587,0.7028332551658423,45.0,80,100,15,0.2859179768606574,0.0815912953835028,15.568632118275172,0.7671726809808302,5327,FE21400A8C24C138CCA99CC9165E4980AC1D8F54E43EB3AFC194AE5356AC7099,5C6DBA1B2D1B3F31B9E0781E89B03EDD03E867ED9CC53D38AA13C92852BB96A9,11,0.8895184135977338,0.0,0.5618729096989966,0.9721518987341772,0.9649122807017544,0.9446254071661238,0.982885085574572,0.7926267281105991,0.7428571428571429,0.7570332480818415,0.8255159474671669,0.0,0.15568632118275172,1.0,100,100,0.8419405525133421,0.7028332551658423,0.2859179768606574,15.56863211827517
372,62,4,106,1.0,clean,none,0,arl_fl,456,19602983,791551251,,100,0.5246743971334488,0.8060010346611485,0.7419903467830982,0.7432780714403663,90.0,100,100,26,0.2691581704930781,0.0867294319500226,16.03790669656739,0.8452460194195273,5606,82AF1297DD1072D101E22AAE9E207367F3D54A7C7B187D78561060D0484EA71B,5A88F5D5FAB2CDDFD3F0FE6CE60B8F9542342E9FA74387D5105F4E7C0A4CB20A,11,0.9310344827586208,0.5475638051044084,0.3601108033240997,0.9448818897637796,0.9649122807017544,0.9255663430420712,0.964200477326969,0.85,0.8070175438596491,0.7830985915492957,0.8409506398537477,0.0,0.1603790669656739,1.0,100,100,0.8419405525133421,0.7432780714403663,0.2691581704930781,16.03790669656739
373,63,4,106,1.0,signflip_mu0p2,sign_flip,6,fedavg,123,213424618,686063111,,100,10.47699589391354,0.1029487842731505,0.0833333333333333,0.015556597873671,80.0,100,100,23,0.2371750735367968,0.083990923643748,17.3821354857643,0.9910311679302314,6013,F07F37C7AD09E560368927ABB7BE0BD5AAA1080B3FDDE4492996E366C8B3946C,731E2C6EF517217E59349CB8FBCF1C1EDEF1DEAAB1F868C3732A3B9D2743847D,11,0.0,0.0,0.0,0.1866791744840525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17382135485764302,1.0,100,100,0.8579656265998077,0.015556597873671,0.2371750735367968,17.382135485764305
374,63,4,106,1.0,signflip_mu0p2,sign_flip,6,fedprox,123,213424618,686063111,,100,9.835330561535752,0.1029487842731505,0.0833333333333333,0.015556597873671,80.0,100,100,23,0.2371750735367968,0.083990923643748,17.3821354857643,0.9910311679302314,6013,FE8D688A0FA8AE2246E03C193F01A5CB32F2C3BD0A181D4169122634BD64EAD8,C564D43254EFAA81F6088A2A1B6D8FB849B4B8D54238E70A1857E9CBD52EA1E4,11,0.0,0.0,0.0,0.1866791744840525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17382135485764302,1.0,100,100,0.8579656265998077,0.015556597873671,0.2371750735367968,17.382135485764305
