method,runs,completed_round_100,minimum,median,maximum,round_100_percent
arl_fl,100,100,100,100.0,100,100.0
fedavg,100,95,97,100.0,100,95.0
fedle_adapted,100,100,100,100.0,100,100.0
fedprox,100,95,97,100.0,100,95.0
random_trimmed_mean,100,95,97,100.0,100,95.0
tea_fl,100,87,92,100.0,100,87.0
