method,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,final_mean_residual_energy_mean,final_mean_residual_energy_std,final_active_clients_mean,final_active_clients_std,jain_participation_fairness_mean,jain_participation_fairness_std,completed_training_rounds_mean,completed_training_rounds_std,completed_round_fraction_mean,completed_round_fraction_std,total_normalized_energy_consumed_mean,total_normalized_energy_consumed_std,energy_per_completed_round_mean,energy_per_completed_round_std,common_horizon_energy_mean,common_horizon_energy_std,common_horizon_macro_f1_mean,common_horizon_macro_f1_std,method_label,runs,completed_round_100,minimum,median,maximum,round_100_percent
arl_fl,0.4376071070488659,0.046549031917265504,0.4847385481975966,0.03974898823394815,0.25597803364224775,0.020701015743539226,23.3,0.9500000000000015,0.8660085655745222,0.009507270284826098,100.0,0.0,1.0,0.0,16.52459876491024,0.31079343940717613,0.16524598764910242,0.003107934394071768,16.3753316179177,0.22065455758990837,0.433703680201984,0.04454133197460844,ARL-FL,100,100,100,100.0,100,100.0
fedavg,0.37074028309532325,0.03549352411288233,0.41560626779867216,0.0290519091346185,0.22430980024401084,0.017655286201318482,18.05,2.094636006565341,0.9695443588381032,0.005961201112007834,99.85,0.33541019662496885,0.9984999999999999,0.003354101966249663,17.41130930006087,0.25080906219200905,0.1743871543656339,0.002919709017663773,17.294085515023855,0.21271765732554257,0.3700119471557997,0.03443698331491317,FedAvg,100,95,97,100.0,100,95.0
fedle_adapted,0.34822949891187854,0.023429855024496214,0.39686274810921823,0.0205942146960016,0.22087019314969902,0.02116319915213444,20.52,1.9546738858438764,0.9233783826705819,0.006748655406029801,100.0,0.0,1.0,0.0,17.507618298701605,0.3299512065216967,0.17507618298701605,0.003299512065216964,16.781804714973873,0.23748747001564988,0.34910972594363077,0.025352509105222326,FedLE-adapted,100,100,100,100.0,100,100.0
fedprox,0.3765900793677405,0.03763366845785081,0.41958187642815226,0.030843494883615694,0.22430980024401084,0.017655286201318482,18.05,2.094636006565341,0.9695443588381032,0.005961201112007834,99.85,0.33541019662496885,0.9984999999999999,0.003354101966249663,17.41130930006087,0.25080906219200905,0.1743871543656339,0.002919709017663773,17.294085515023855,0.21271765732554257,0.37565422631384704,0.037230447629250714,FedProx,100,95,97,100.0,100,95.0
random_trimmed_mean,0.41872739330479086,0.05245648961541017,0.4666729717171454,0.04336479880321882,0.22430980024401084,0.017655286201318482,18.05,2.094636006565341,0.9695443588381032,0.005961201112007834,99.85,0.33541019662496885,0.9984999999999999,0.003354101966249663,17.41130930006087,0.25080906219200905,0.1743871543656339,0.002919709017663773,17.294085515023855,0.21271765732554257,0.4158726604562964,0.05114888993341027,Random Trimmed Mean,100,95,97,100.0,100,95.0
tea_fl,0.5022500779197479,0.035456976702509586,0.553755381774169,0.03004909909393702,0.3010139494867107,0.019203923141990473,16.169999999999998,0.7224956747275372,0.7019266395418096,0.027167294036699388,99.44,0.6940821277053605,0.9944,0.006940821277053598,15.263593121265279,0.2997035947634288,0.15356451316351744,0.0035428857613592204,15.204602471419623,0.2737783845017708,0.5152573673930659,0.037211649303329465,TEA-FL,100,87,92,100.0,100,87.0
