scenario,n_seed_blocks,friedman_q,kendall_w,randomization_p,randomizations,randomizations_at_least_as_extreme
CLEAN,5,13.914285714285711,0.5565714285714285,0.006189969050154749,200000,1237
SIGNFLIP_MU0P2,5,16.771428571428572,0.6708571428571429,0.0005999970000149999,200000,119
SIGNFLIP_MU0P4,5,8.542857142857144,0.3417142857142858,0.12259938700306498,200000,24519
