outer_fold,method,macro_f1,balanced_accuracy,final_mean_residual_energy,final_active_clients,jain_participation_fairness,completed_training_rounds,completed_round_fraction,total_normalized_energy_consumed,energy_per_completed_round,common_horizon_energy,common_horizon_macro_f1
1,arl_fl,0.39779321465536216,0.4547877188580235,0.27017859173442066,22.65,0.861561468657863,100.0,1.0,16.56867745117156,0.16568677451171562,16.532372789184002,0.39779321465536216
1,fedavg,0.33978723477781686,0.38964893349748325,0.23562632131766353,19.0,0.9637732656736862,100.0,1.0,17.53614102284076,0.17536141022840762,17.50044391399477,0.33978723477781686
1,fedle_adapted,0.34155689926386035,0.3954837532657341,0.2352453751551952,22.75,0.919894650043864,100.0,1.0,17.546807515389876,0.17546807515389876,16.91388292086943,0.34155689926386035
1,fedprox,0.3328988026860969,0.3848615231136343,0.23562632131766353,19.0,0.9637732656736862,100.0,1.0,17.53614102284076,0.17536141022840762,17.50044391399477,0.3328988026860969
1,random_trimmed_mean,0.37333164896443227,0.43159445692011883,0.23562632131766353,19.0,0.9637732656736862,100.0,1.0,17.53614102284076,0.17536141022840762,17.50044391399477,0.37444557957763147
1,tea_fl,0.5081561297300935,0.5654312497589065,0.32503395893585163,17.15,0.662080141909725,99.8,0.998,15.032727169531494,0.15065795567294357,15.024122587894194,0.5037626217943567
2,arl_fl,0.38552241135016047,0.43829909427409375,0.26018286152933945,23.95,0.8727931434451903,100.0,1.0,16.570739034074727,0.1657073903407473,16.489516991789177,0.38687646935679865
2,fedavg,0.33827456327909217,0.39472950380337735,0.2291061688961204,18.25,0.9682394291283176,100.0,1.0,17.440886427804863,0.1744088642780486,17.36708314038214,0.33827456327909217
2,fedle_adapted,0.3112202664639565,0.3631299374307208,0.22503084273501214,20.0,0.9347719849556911,100.0,1.0,17.554995560315895,0.17554995560315895,16.89030785518423,0.3112202664639565
2,fedprox,0.35188564298551983,0.4037449288844167,0.2291061688961204,18.25,0.9682394291283176,100.0,1.0,17.440886427804863,0.1744088642780486,17.36708314038214,0.35188564298551983
2,random_trimmed_mean,0.3598832447500792,0.42013391110353027,0.2291061688961204,18.25,0.9682394291283176,100.0,1.0,17.440886427804863,0.1744088642780486,17.36708314038214,0.3598832447500792
2,tea_fl,0.4575319277839168,0.524674013319858,0.29670898383687916,16.1,0.7192910664686953,99.75,0.9974999999999999,15.54800760946362,0.15588896033129343,15.50449148357884,0.47472815239153976
3,arl_fl,0.4605357403713627,0.5008865052732985,0.2197352215588441,21.95,0.8649640877573249,100.0,1.0,16.93971139143453,0.16939711391434528,16.501442646323827,0.4392040291361005
3,fedavg,0.3617684932244488,0.4032407819436745,0.19320412912512822,14.5,0.9676472408615503,99.25,0.9925,17.682581979578575,0.17819612662091153,17.38941082460796,0.3643594982962891
3,fedle_adapted,0.3535681712492015,0.3987645424740225,0.1839920380153763,17.75,0.9227032506349051,100.0,1.0,17.940520530651625,0.17940520530651624,16.94693364494967,0.35022238490537866
3,fedprox,0.3756558278491634,0.41584158475958793,0.19320412912512822,14.5,0.9676472408615503,99.25,0.9925,17.682581979578575,0.17819612662091153,17.38941082460796,0.3754071716556135
3,random_trimmed_mean,0.43036580587227513,0.47085449367968757,0.19320412912512822,14.5,0.9676472408615503,99.25,0.9925,17.682581979578575,0.17819612662091153,17.38941082460796,0.421969621602473
3,tea_fl,0.49107845105124176,0.5386797630633441,0.2733572387193762,15.2,0.7140248663961228,98.2,0.982,15.438294910939627,0.1573965703629115,15.311587223572758,0.4948631009142542
4,arl_fl,0.44502606902985653,0.49045758276017865,0.2615678226305562,24.1,0.8774826812086172,100.0,1.0,16.474787473928522,0.1647478747392852,16.35303026138925,0.4454865880240713
4,fedavg,0.3941614203480153,0.43176674076514754,0.2289943233016639,20.0,0.9796557684589887,100.0,1.0,17.386845455137507,0.17386845455137506,17.270761309405156,0.38792873557855717
4,fedle_adapted,0.370403176471632,0.41436589910877347,0.22560579474544235,20.1,0.9223687250789802,100.0,1.0,17.481724254711708,0.1748172425471171,16.787295001859444,0.37815009797421584
4,fedprox,0.3919970717463903,0.4259837595972666,0.2289943233016639,20.0,0.9796557684589887,100.0,1.0,17.386845455137507,0.17386845455137506,17.270761309405156,0.3875664626704729
4,random_trimmed_mean,0.4420025383490084,0.48183276819060145,0.2289943233016639,20.0,0.9796557684589887,100.0,1.0,17.386845455137507,0.17386845455137506,17.270761309405156,0.43500869962138144
4,tea_fl,0.4987796606629732,0.5393776812085662,0.29853341158909596,15.9,0.7278875475460772,99.75,0.9974999999999999,15.439750983089407,0.15480234318167574,15.35620656528421,0.53241451228586
5,arl_fl,0.4991580998375877,0.5392618398223885,0.26822567075807824,23.85,0.8532414468036158,100.0,1.0,16.06907847394186,0.1606907847394186,16.00029540090224,0.4991580998375877
5,fedavg,0.4197097038472431,0.4586453789836778,0.2346180585794781,18.5,0.9684060900679728,100.0,1.0,17.010091614942663,0.17010091614942663,16.942728386729247,0.4197097038472431
5,fedle_adapted,0.3643989811107423,0.4125696082668403,0.23447691509746912,22.0,0.9171533026394693,100.0,1.0,17.014043632438916,0.17014043632438916,16.3706041520066,0.3643989811107423
5,fedprox,0.4305130515715322,0.4674775857858557,0.2346180585794781,18.5,0.9684060900679728,100.0,1.0,17.010091614942663,0.17010091614942663,16.942728386729247,0.4305130515715322
5,random_trimmed_mean,0.48805372858815943,0.5289492286917887,0.2346180585794781,18.5,0.9684060900679728,100.0,1.0,17.010091614942663,0.17010091614942663,16.942728386729247,0.48805615672991676
5,tea_fl,0.5557042203705137,0.6006142015201705,0.31143615435235034,16.5,0.6863495753884274,99.7,0.9970000000000001,14.859184933302242,0.14907673626876286,14.826604496768113,0.5705184495793191
