method_id,scenario_id,n,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_loss_mean,test_loss_std,test_loss_min,test_loss_max,best_round_mean
ARL_FL,CLEAN,10,0.936729452551,0.033557587396,0.880662185966,0.966677526823,0.493768728700,0.131322298879,0.315698221933,0.629756846105,0.506637072843,0.101168924879,0.372084345609,0.614547146552,0.275202057376,0.293724958133,0.095441860367,1.040353200433,16.600000000000
ARL_FL,SIGNFLIP_MU0P2,10,0.905666536474,0.077278724588,0.771807162289,0.965892018462,0.421506448936,0.187525280244,0.124458426840,0.612408354484,0.442742936102,0.163960840897,0.142857142857,0.595000665977,0.549266606608,0.695434887362,0.096234906711,2.210858973205,14.900000000000
ARL_FL,SIGNFLIP_MU0P4,10,0.874987770239,0.094391022715,0.771807162289,0.963624920482,0.351582011629,0.212573627143,0.124458426840,0.563644711990,0.356241987476,0.204400394056,0.142857142857,0.562609307334,0.736709537243,0.772639975106,0.104820416631,2.210858973205,3.800000000000
FEDAVG,CLEAN,10,0.934332564421,0.035784883130,0.878270856818,0.966301932979,0.491062213368,0.133350619994,0.311461768709,0.627495059056,0.500198530348,0.106020890128,0.360678045927,0.612144358572,0.275852446273,0.269967993623,0.095121616162,0.928980219813,16.600000000000
FEDAVG,SIGNFLIP_MU0P2,10,0.876663054134,0.091552677792,0.771807162289,0.962682310448,0.361042196136,0.202134109419,0.124458426840,0.563630878712,0.373936067084,0.188001147497,0.142857142857,0.565982191927,1.157203772242,1.754921712289,0.108734565299,5.797655594097,5.400000000000
FEDAVG,SIGNFLIP_MU0P4,10,0.869634276974,0.097484487800,0.771807162289,0.962682310448,0.346026189439,0.215877942097,0.124458426840,0.563630878712,0.352728238218,0.206542469340,0.142857142857,0.565982191927,0.774175345331,0.773578542331,0.104061633850,2.070199077964,3.000000000000
FEDLE_ADAPTED,CLEAN,10,0.934300902392,0.036365843212,0.878397021546,0.966570697686,0.490349317742,0.134192850849,0.311662533561,0.627930285587,0.498285955979,0.105244240966,0.361190804434,0.612634925154,0.274959512239,0.271003730087,0.095004486392,0.927685352712,16.200000000000
FEDLE_ADAPTED,SIGNFLIP_MU0P2,10,0.876655851626,0.091639896674,0.771807162289,0.962700679259,0.358683145411,0.205356970512,0.124458426840,0.563586313383,0.371602152849,0.191354056653,0.142857142857,0.565794242480,1.290343323629,2.152128048532,0.108727867332,7.130281663764,5.400000000000
FEDLE_ADAPTED,SIGNFLIP_MU0P4,10,0.834728992364,0.171043946235,0.423009062591,0.962700679259,0.349942463795,0.211871677324,0.124458426840,0.563586313383,0.363475096346,0.197092251891,0.142857142857,0.565794242480,0.845975605535,0.821590124924,0.104146255971,2.069984087955,3.500000000000
FEDPROX,CLEAN,10,0.933379271474,0.037252564713,0.875626231435,0.966866532220,0.510555290824,0.122682863284,0.345624341862,0.624458834371,0.511933686534,0.102011313129,0.377772872445,0.608932247907,0.178716986735,0.099288063411,0.091649736392,0.353985545971,18.200000000000
FEDPROX,SIGNFLIP_MU0P2,10,0.856014432085,0.099907752844,0.689935921853,0.949460150315,0.357662506625,0.189470278883,0.124458426840,0.544002269285,0.377498044695,0.178472795420,0.142857142857,0.549740704788,0.581907828972,0.482455459953,0.132928484991,1.245290872772,6.000000000000
FEDPROX,SIGNFLIP_MU0P4,10,0.861972307567,0.090697450169,0.771807162289,0.951389358851,0.335229742936,0.207335219736,0.124458426840,0.544002269285,0.343831142253,0.200353492547,0.142857142857,0.549740704788,0.533614302429,0.455359262841,0.132928484991,1.245290872772,2.800000000000
RANDOM_TRIMMED_MEAN,CLEAN,10,0.932004946044,0.040974608480,0.868170911151,0.966667859028,0.479507030289,0.144472674175,0.297925438881,0.625949129744,0.501154280693,0.104759091785,0.373139509632,0.611458956162,0.290386707837,0.302087566059,0.095611054518,1.069928873184,16.600000000000
RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,10,0.908017405898,0.072295487634,0.771807162289,0.965189169749,0.428531280270,0.174090934185,0.124458426840,0.608791508728,0.447396711632,0.158363460684,0.142857142857,0.590701736923,0.513392265193,0.736072705939,0.095797170487,2.493536328124,12.900000000000
RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,10,0.874874076967,0.093357746188,0.771807162289,0.963446549661,0.352379860561,0.210329293879,0.124458426840,0.565056565563,0.356732491191,0.203120253591,0.142857142857,0.565688850890,0.858558543714,0.908595489631,0.105342088544,2.493536328124,3.800000000000
TEA_FL,CLEAN,10,0.891381885645,0.081424912182,0.771807162289,0.966178185200,0.410279206158,0.206508481347,0.124458426840,0.619966958144,0.417051163955,0.183021886064,0.142857142857,0.605155794901,0.667806642026,0.720072324846,0.098691565558,2.166705906416,14.300000000000
TEA_FL,SIGNFLIP_MU0P2,10,0.909517170971,0.070359032817,0.771807162289,0.965925855745,0.430349601862,0.176045110756,0.124458426840,0.609937425933,0.447346792924,0.156800379344,0.142857142857,0.592181801722,0.503568631020,0.645431348669,0.095576584231,2.166705906416,14.500000000000
TEA_FL,SIGNFLIP_MU0P4,10,0.877230940425,0.094304990123,0.771807162289,0.962224056955,0.352991901608,0.217095546193,0.124458426840,0.579544828329,0.361540083986,0.205474722485,0.142857142857,0.565896265917,0.816223755426,0.855810324792,0.104648367092,2.166705906416,4.700000000000
