alpha,method_id,scenario_id,n,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_min,test_macro_f1_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_loss_mean,test_loss_std,test_loss_min,test_loss_max,best_round_mean
0.1,ARL_FL,CLEAN,5,0.907913187066,0.021372229199,0.880662185966,0.940457016016,0.371719643049,0.036234039187,0.315698221933,0.407159377699,0.413018365446,0.029515352958,0.372084345609,0.450483329594,0.450657287630,0.342260257125,0.212529168630,1.040353200433,14.800000000000
0.1,ARL_FL,SIGNFLIP_MU0P2,5,0.847071818183,0.069647569436,0.771807162289,0.929809873139,0.257298508981,0.105808607115,0.124458426840,0.369960937272,0.305387150944,0.114855030340,0.142857142857,0.425219807943,0.997585251327,0.765298663129,0.446748662013,2.210858973205,13.600000000000
0.1,ARL_FL,SIGNFLIP_MU0P4,5,0.788271224194,0.035276254945,0.771807162289,0.851338312892,0.153306832958,0.056800530741,0.124458426840,0.254300634747,0.164627757989,0.044583209422,0.142857142857,0.244166260742,1.365453454447,0.595722115556,0.597152717373,2.210858973205,3.200000000000
0.1,FEDAVG,CLEAN,5,0.903661000694,0.022982385900,0.878270856818,0.940772186140,0.366870675748,0.035827236093,0.311461768709,0.399818632650,0.401866318879,0.030235188166,0.360678045927,0.425502440578,0.450820047991,0.295689664808,0.226977440481,0.928980219813,14.800000000000
0.1,FEDAVG,SIGNFLIP_MU0P2,5,0.791478901970,0.026797179528,0.771807162289,0.822925629518,0.172618477554,0.055433804226,0.124458426840,0.234097358057,0.201301504005,0.069545609263,0.142857142857,0.283387744256,2.202309728573,2.049096983388,0.746354513476,5.797655594097,6.400000000000
0.1,FEDAVG,SIGNFLIP_MU0P4,5,0.777495692997,0.012576407296,0.771807162289,0.799992169086,0.142974521733,0.041047988898,0.124458426840,0.216401737872,0.158164335996,0.034054780289,0.142857142857,0.219082905070,1.438301283842,0.493722831255,0.930982641912,2.070199077964,2.200000000000
0.1,FEDLE_ADAPTED,CLEAN,5,0.903073102067,0.023166764013,0.878397021546,0.940452665508,0.365133931011,0.033874865687,0.311662533561,0.392124508997,0.400458335703,0.028899963123,0.361190804434,0.425121833325,0.450162351131,0.297468937044,0.223253881254,0.927685352712,14.800000000000
0.1,FEDLE_ADAPTED,SIGNFLIP_MU0P2,5,0.791396145643,0.026866266845,0.771807162289,0.822927079688,0.167580580241,0.059061531687,0.124458426840,0.234094169200,0.196295964351,0.073338655087,0.142857142857,0.283397754764,2.468757279509,2.636200603491,0.747107459564,7.130281663764,6.400000000000
0.1,FEDLE_ADAPTED,SIGNFLIP_MU0P4,5,0.707681933404,0.159603844345,0.423009062591,0.799979117562,0.150673049921,0.040453534829,0.124458426840,0.216375900429,0.179544444724,0.051422053327,0.142857142857,0.250103185299,1.581922243769,0.405829908472,1.142047224294,2.069984087955,3.200000000000
0.1,FEDPROX,CLEAN,5,0.901147470614,0.022894948784,0.875626231435,0.926293696017,0.402137510193,0.066662798311,0.345624341862,0.516407834275,0.421509612082,0.053758907135,0.377772872445,0.514405826016,0.260904703242,0.072668994846,0.180766687351,0.353985545971,17.400000000000
0.1,FEDPROX,SIGNFLIP_MU0P2,5,0.766101132872,0.047327201019,0.689935921853,0.820801614909,0.183797285656,0.071412265151,0.124458426840,0.283724842058,0.220497531608,0.099537757286,0.142857142857,0.368711904287,1.023042667705,0.192685471979,0.753895623995,1.245290872772,5.400000000000
0.1,FEDPROX,SIGNFLIP_MU0P4,5,0.776167241256,0.009749432957,0.771807162289,0.793607557122,0.139830827107,0.034373731975,0.124458426840,0.201320428176,0.154639631395,0.026346445314,0.142857142857,0.201769585545,0.931263633435,0.266871757810,0.545215153440,1.245290872772,1.600000000000
0.1,RANDOM_TRIMMED_MEAN,CLEAN,5,0.898346903695,0.030727578632,0.868170911151,0.939678275111,0.344976621123,0.035921284790,0.297925438881,0.379129963799,0.404092677997,0.028086094933,0.373139509632,0.431802301398,0.481318342095,0.337900769888,0.260973905375,1.069928873184,14.800000000000
0.1,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,5,0.851869944951,0.062268930885,0.771807162289,0.933503454303,0.276387275065,0.100100975244,0.124458426840,0.374639494198,0.316508725482,0.116301909949,0.142857142857,0.416813857934,0.925626974899,0.891177251503,0.342286694947,2.493536328124,10.400000000000
