run_index,run_directory,config_id,alpha,experimental_seed,method_id,scenario_id,runner_generation,runner_sha256,build_binding_sha256,best_round,validation_loss,validation_accuracy,validation_macro_f1,validation_balanced_accuracy,test_loss,test_accuracy,test_macro_f1,test_balanced_accuracy,scientific_optimizer_steps,run_result_binding_sha256,run_state_status
11,run_011__alpha_0p1_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P2,alpha_0p1_seed_123,0.1,123,FEDLE_ADAPTED,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.852513235869,0.771807162289,0.124458426840,0.142857142857,1.852680443431,0.771807162289,0.124458426840,0.142857142857,36000,D79CE105FC8653960CD9BEC924AD9CE9545DDCA1E3DE19CB7FBE42E9AEFF059E,IN_PROGRESS
12,run_012__alpha_0p1_seed_123__FEDLE_ADAPTED__SIGNFLIP_MU0P4,alpha_0p1_seed_123,0.1,123,FEDLE_ADAPTED,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.852513235869,0.771807162289,0.124458426840,0.142857142857,1.852680443431,0.771807162289,0.124458426840,0.142857142857,36000,594CD7F4248F791DBA87451D25906D7475267543AAC355896815814CB12EC7F8,IN_PROGRESS
13,run_013__alpha_0p1_seed_123__TEA_FL__CLEAN,alpha_0p1_seed_123,0.1,123,TEA_FL,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,2.166535188158,0.771807162289,0.124458426840,0.142857142857,2.166705906416,0.771807162289,0.124458426840,0.142857142857,36000,D5488870163B62CF9BD0CB00C83974C9896C5B5C1805BBD033A077F2F499DB82,IN_PROGRESS
14,run_014__alpha_0p1_seed_123__TEA_FL__SIGNFLIP_MU0P2,alpha_0p1_seed_123,0.1,123,TEA_FL,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,2.166535188158,0.771807162289,0.124458426840,0.142857142857,2.166705906416,0.771807162289,0.124458426840,0.142857142857,36000,CFA5C9271DB145C534FC420DBF0FE6394DF25B8998BEEBB19D3492CFE930B33F,IN_PROGRESS
15,run_015__alpha_0p1_seed_123__TEA_FL__SIGNFLIP_MU0P4,alpha_0p1_seed_123,0.1,123,TEA_FL,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,2.166535188158,0.771807162289,0.124458426840,0.142857142857,2.166705906416,0.771807162289,0.124458426840,0.142857142857,36000,9B15DD4E32CFF55E0C9DE130CD3080277C893A0D11D8245A397EFA6B4C4FAB02,IN_PROGRESS
16,run_016__alpha_0p1_seed_123__ARL_FL__CLEAN,alpha_0p1_seed_123,0.1,123,ARL_FL,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,17,0.234911335480,0.905492467821,0.397198861760,0.450723498128,0.234859353864,0.905372103770,0.397026303190,0.450483329594,36000,01747F5E94CA1EBC3DD7F955080C047679E64D52B5BCCC700F6EA16C5EE3F1E0,IN_PROGRESS
17,run_017__alpha_0p1_seed_123__ARL_FL__SIGNFLIP_MU0P2,alpha_0p1_seed_123,0.1,123,ARL_FL,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,2.210684149131,0.771807162289,0.124458426840,0.142857142857,2.210858973205,0.771807162289,0.124458426840,0.142857142857,36000,E022C35EB93D0EB8A9B8AE07FE5A78D6A30E38B9BAB2AE21D2F2B9CA5878C16A,IN_PROGRESS
18,run_018__alpha_0p1_seed_123__ARL_FL__SIGNFLIP_MU0P4,alpha_0p1_seed_123,0.1,123,ARL_FL,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,2.210684149131,0.771807162289,0.124458426840,0.142857142857,2.210858973205,0.771807162289,0.124458426840,0.142857142857,36000,7060F17E4AF957A898E9A868B10F986980CCB936253506A971447986BF4FF9DF,IN_PROGRESS
19,run_019__alpha_0p1_seed_42__FEDAVG__CLEAN,alpha_0p1_seed_42,0.1,42,FEDAVG,CLEAN,RUNNER_V4_INITIAL_ACCEPTED,F0D3CE89AA9A9B14FF3084E913A5301732CD8DE0854A95E1F3E865B9FD2BC688,333EDF80A9B1272CC745B76F70F8DCB47D005332028E2581BD24994810EEFF52,11,0.928672678135,0.878483064923,0.311709657339,0.361140833473,0.928980219813,0.878270856818,0.311461768709,0.360678045927,36000,A418529C146FE19712F63305BAF002A79963EC34CCCD083F9EE36E28BBC1EE34,IN_PROGRESS
20,run_020__alpha_0p1_seed_42__FEDAVG__SIGNFLIP_MU0P2,alpha_0p1_seed_42,0.1,42,FEDAVG,SIGNFLIP_MU0P2,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,19,5.798012867798,0.772465539144,0.149876682453,0.168140652341,5.797655594097,0.772207409012,0.149627223741,0.167854327381,36000,EC595598F1187B144C2CB9D0CAFC1F363E6F25FA22C2410950CF178DFDB1397F,IN_PROGRESS
21,run_021__alpha_0p1_seed_42__FEDAVG__SIGNFLIP_MU0P4,alpha_0p1_seed_42,0.1,42,FEDAVG,SIGNFLIP_MU0P4,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,1,1.141934577142,0.771807162289,0.124458426840,0.142857142857,1.142047224294,0.771807162289,0.124458426840,0.142857142857,36000,380606EBF4BC29D797A6133C8156CDBB17B26423E5D8C667A6EEAE41DA682390,IN_PROGRESS
22,run_022__alpha_0p1_seed_42__FEDPROX__CLEAN,alpha_0p1_seed_42,0.1,42,FEDPROX,CLEAN,RUNNER_V6R1_CONTEXT_BRIDGE_ACCEPTED,38F2047D95802F625FE9C597EAC46407F26A3A2874902D6BC3515F798D850CA1,D9BE0D1FF33073102A32B2092E8A5ACD0FDD3A36FEBB9142D88DEAF81E64D611,19,0.353645464667,0.875516985349,0.377779851625,0.393996838895,0.353985545971,0.875626231435,0.378077818749,0.394478821392,36000,26778F193A6D6287F156AD738603F638A22EAAB3FD67F05A79C11751F1212F6A,IN_PROGRESS
