ablation_run_id,reference_run_id,outer_fold,alpha,scenario,method_family,variant,fl_seed,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256
26,425,4,0.1,clean,tea_fl,tea_energy_only,123,5462,4E8E67926B1DB454B9003E108B62D862000C23E34E08C66E72B3EF0DB3299079,88D736C75242C89E7EB351A81477299EE47E9E537CBE296E9F103FEAF1CA3565
27,426,4,0.1,clean,arl_fl,arl_no_energy,123,5683,DB0EAFACBB06EDFEDABF429002C8D3A9C19C7C19B15815EA23EF97237F5B9A73,A4A52F08F1B99B1857D3F765F9455996778767903F116E7FC69CF7CB578C063F
28,426,4,0.1,clean,arl_fl,arl_no_pressure,123,5470,0DF7703C263EE78C9C00DD5B1FBBAEAFE421F684570913EDEEEFCC11868D6BC1,9A2378ABB739EBA83C4A6E0478CF3FEAC2D12DD3E9F94C18FD1A98C14A8A710F
29,431,4,0.1,clean,tea_fl,tea_trust_only,456,4730,63BD3A6684738C6F987AD6418E7BCDBAD3C70101673EED0899713F16AD4B271C,1D694C33C57FCDA2F2BCCAB063AA002F2A92B47A9DF3EE1AF84F3FBAC1D46380
30,431,4,0.1,clean,tea_fl,tea_energy_only,456,5338,AFA240300517BC5E0279491625CD0EEF1C32DFA94AC618EFEBB2702022BA3A0C,D1223AE262AC2A9FE4EB97B4325B758C76DBE71751E3E20911625CFFCDB1EDFF
31,432,4,0.1,clean,arl_fl,arl_no_energy,456,5693,E89EACCDE11EA703A48264CC521EB03EDB994BB96803449AEC329D7BFA0C6BD2,2863C25D82B2FFBF1B677AEC09E7AE4A9D06F89E8BF43F38EEC8C6E0F2079FB3
32,432,4,0.1,clean,arl_fl,arl_no_pressure,456,5500,9D6857DE48C8AFA05F3EE70921A1714CD58138A2A3643F78350806649687A2E9,C6DBF507B0A866ECBF7AE0685192C89B30D39636FF9ACF0EB70E5F94F81CCE14
33,545,5,0.1,clean,tea_fl,tea_trust_only,123,4306,C38430CE1824BB3FA1BC73B5ECA8D0B46934F8FF557C3A4D2C194E3976E3B337,D7207E1A86540AFAA1D2E153010C501AC737DB22F8F38DF654DE06FF98913443
34,545,5,0.1,clean,tea_fl,tea_energy_only,123,5172,EBA61D35070F7DB90F9B35D560BCC92A943F4BE1EB824A87F56F745D35392209,6D788773C437E745CDDC70F2A8C759132AB0C44CC4413F978A024DF63DAA58E6
35,546,5,0.1,clean,arl_fl,arl_no_energy,123,5568,2237B9EA2DED168ED60857380EA87A34CBC8ABFE2833E19256E7C2F243E8614C,29E87EFAD4CD14587C1479C39F6C002B3C351254B8562C75D50B728490A849F2
36,546,5,0.1,clean,arl_fl,arl_no_pressure,123,5357,9C11675511F636CF4C9653A42E2231B5704F78A757B623D2ED428E9B4BE48546,40B9F3438EE727A1BA06AB2647CB7A28571EECBF236EE5E13338C3F71E418E2C
