ablation_run_id,reference_run_id,source_condition_id,outer_fold,alpha,scenario,method_family,variant,variant_label,component_isolated,fl_seed,early_stop_round,loss,accuracy,balanced_accuracy,macro_f1,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256,run_manifest_entries
12,186,31,2,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,,1.3618782657908644,0.6494845360824743,0.6343026245212239,0.5817745476662803,22,0.2306072744139558,0.0714687863560165,17.067018643261036,0.9060946189305819,5473,3528E3AA6607D1DA6999D25DC73EA49174533F25E0314929CC17B03A6F68D104,A593447AD87A20993BB397BC3AF481203BE868453B0845AFDC4AC0B2BC9F1D74,11
13,191,32,2,0.1,clean,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,,1.7163686896576036,0.4575355915562101,0.43592979518360436,0.3519017230666584,18,0.3480693749443814,0.08611893635065898,14.441753488497993,0.655533522345499,4697,5B75BB70AC51C31F585D60011C58E653D2AE1AEE6708FA3532428AE6B55D9C48,72974A7B83109729B2AD94530B85933511BB543D7D73F05ECB51534B69C94140,11
14,191,32,2,0.1,clean,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,,1.4964523957708507,0.5267550319096711,0.5051071639565722,0.4529496904834705,28,0.28503902852863083,0.2158920714651285,16.206603188139006,0.8747471434038598,5292,4364FE4462D1543D6D1D5412BB1D65F74C6FF22004FC8B8CD22962ADD5D94057,60C2C0979FDFD5F13E5234ECC627456C87F6379C431F44CB4213717BDB62DE90,11
15,192,32,2,0.1,clean,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,,1.215659494925552,0.6013745704467354,0.5854854277507782,0.5415792672142299,22,0.25400662287743325,0.06004943903448587,17.075510546372538,0.9341647399518905,5649,8927803B3A911E02CD41ED2D7BB9B72C16744A339C86827952AB59CE409639DB,76C0CC697870A26A02F4D3D81BB91C00627A91E03CB2F5233E1D5976CED52CB5,11
16,192,32,2,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,,1.5761698822092647,0.4899361806578301,0.46530887726131986,0.3863427468538821,24,0.27243258315638513,0.07269057686067643,16.559583658561888,0.8845643520566121,5424,0D230E05790D587F17824055134901753BFA232522666F94AE0BDD8B701A745B,59A570123AB854BB3303E83F8EACB4F3BB8C032112F6E0C94AD1584C5BBD00BA,11
17,305,51,3,0.1,clean,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,,1.190380609935078,0.6198386331276696,0.57571009070428,0.5211944806017742,15,0.27578072510346935,0.08263546911619274,14.982783430391592,0.6753277449962435,4570,EB67B5703026A7759A5F10B0A8BE3E41BD76949BCC2CD5DEF86A90B7A85E9ED0,C0B5617B52AF391D55C97DE3E73F5AA4410ECB599A894CA0DA57E60F168A9BE7,11
18,305,51,3,0.1,clean,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,,0.9725855063305797,0.6881822496440436,0.6568125187565422,0.6259303596519091,28,0.210453688293449,0.16490089582121226,16.81194046107216,0.8509099418190327,5190,18FE4C1544D5B037380C56DACBC2144D68AD6FF9EC535D71DFDF8CF0EFCFBB3F,8D9A8AFC5DE79650A66F9AD703B63FA29F3C7004E8E88342A0222E5F8393CDE9,11
19,306,51,3,0.1,clean,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,,1.4471367775799824,0.5628856193640247,0.5404445466081947,0.49442263779487033,14,0.18090131180202204,0.06178581198458025,17.639407002832115,0.9329446064139941,5524,A5A9D63205B57B1ED9573537D4597B7383435A866B647FDEA9F4D308A02A1305,64777AB1C69C10CA00E76F67A95E36E6203BF9489877A8FA89734EC35CA387E2,11
20,306,51,3,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,,1.042827495648276,0.6203132415757,0.5868046959327744,0.5576837417530858,20,0.1966681134941752,0.0647858119845802,17.19793655545183,0.8919512548639217,5345,CE7C9BE232A0B3D20277A2DDC4C69A059381D947D4B57ACA757F1EEF8C2CF222,21F7B5223ACC5EEB394A7F298FB4F0A4249B46F0CC6E1D07E8A7B1F9A0C05F5C,11
21,311,52,3,0.1,clean,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,,1.6098139488589553,0.5234931181775035,0.4772466946242158,0.41072323523041,19,0.3156828699010811,0.08220965116391946,14.640831099645322,0.6673228674863616,4619,B2A26FB2FAA0AD49D7B6AD1999D46B145FFA51A9CC73C9F46F4854F94A29C66A,DDED547BFF7543484B42A7117E44BF54A2E1168E40C228F986125E39E3DA57FB,11
22,311,52,3,0.1,clean,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,,0.8857087393083106,0.7242524916943521,0.6676672646992112,0.6561612754417846,28,0.25825639850244986,0.15335026652347195,16.248772298806998,0.8601318152006795,5187,6570CD63867650C17BC63DFBC9C486A81B40BC5D9289B03DA167354D8D9B4C77,33F164C28BD7B021092F2D5EC910D0AD0C96F5731089313A43DF2569A4D30220,11
23,312,52,3,0.1,clean,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,,0.9968022037355833,0.7128618889416232,0.6727176151791093,0.6568895737238513,21,0.22948415413132928,0.06792120330463963,17.054395141198373,0.9240436148586213,5553,C6AA5345836F3EDFD334E07F220BC8E8C10D786912B1F3743A7918B8A00C411B,B6735D4F2AD88F25F8CA8EE06635256DB9FC41529E3303E8ECFCDDA4B3583BF1,11
24,312,52,3,0.1,clean,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,,1.3085143655524414,0.4712861888941623,0.4510533945261415,0.3960517903136654,23,0.23692631940862152,0.08404656109806555,16.84601451343419,0.9187693085112492,5450,D12CD000C50D2F22DEB057A17BAD8BC24E895878E5405E965068E83CCD6AA04B,AE28C94A646C0AB5E66F368F45F4A4E9206260773E8BEC4A0457B86B933D5189,11
