method,macro_f1,balanced_accuracy,total_normalized_energy_consumed,final_mean_residual_energy,final_active_clients,jain_participation_fairness,macro_f1_benefit_norm,balanced_accuracy_benefit_norm,total_normalized_energy_consumed_benefit_norm,final_mean_residual_energy_benefit_norm,final_active_clients_benefit_norm,jain_participation_fairness_benefit_norm,pareto_macro_f1_energy,pareto_four_objective,score_effectiveness_energy,score_balanced_four_objective,alpha,scenario,method_label
random_trimmed_mean,0.7413862079733317,0.7460498316954947,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,1.0,1.0,0.0,0.0,0.3958333333333335,1.0,True,True,0.5,0.5989583333333334,1.0,labelflip_mu0p2,Random Trimmed Mean
tea_fl,0.7124245944197403,0.7336363817243496,15.750529771838519,0.2836233548233807,15.3,0.7386214287419707,0.0,0.0,1.0,1.0,0.0,0.0,True,True,0.5,0.25,1.0,labelflip_mu0p2,TEA-FL
arl_fl,0.6033272672146193,0.6261056038786018,16.387345708906004,0.26087992849954195,25.4,0.8676078668160976,0.8586876819966279,0.8977605893299041,0.6060769803439451,0.6060769803439459,1.0,0.5168150151655699,False,True,0.7323823311702865,0.7453949193765358,1.0,labelflip_mu0p4,ARL-FL
fedavg,0.6010984934438166,0.6159416486911736,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.8315008416870838,0.7584415659118944,0.0,0.0,0.41666666666666685,1.0,False,True,0.4157504208435419,0.5620418770884377,1.0,labelflip_mu0p4,FedAvg
fedle_adapted,0.5329321583621367,0.5606098935647962,17.33654838719105,0.22697983284650447,21.4,0.9193718020884262,0.0,0.0,0.014112494541553944,0.01411249454155414,0.6296296296296295,0.7403189396394291,False,True,0.007056247270776972,0.34601526595265314,1.0,labelflip_mu0p4,FedLE-adapted
fedprox,0.6010581261962828,0.6153842688036064,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.8310084373314632,0.7508014671337383,0.0,0.0,0.41666666666666685,1.0,False,False,0.4155042186657316,0.5619187759995325,1.0,labelflip_mu0p4,FedProx
random_trimmed_mean,0.5869662425605986,0.6088629167884411,17.359177477174327,0.22617165106138745,19.1,0.9795144310449322,0.6591140104125511,0.6614122109471613,0.0,0.0,0.41666666666666685,1.0,False,False,0.32955700520627557,0.5189451692698045,1.0,labelflip_mu0p4,Random Trimmed Mean
tea_fl,0.6149120333835173,0.6335644329957286,15.755698381636307,0.2834387616163168,14.6,0.7479125234087068,1.0,1.0,1.0,1.0,0.0,0.0,True,True,1.0,0.5,1.0,labelflip_mu0p4,TEA-FL
arl_fl,0.5426623533164007,0.5880771729683509,16.670391544506806,0.25077114865665595,22.7,0.8784925506027269,0.6250997334881648,0.6347510839596916,0.3072598581228154,0.30725985812281426,1.0,0.7481172308515375,True,True,0.4661797958054901,0.6701192056156294,0.1,clean,ARL-FL
fedavg,0.5975352693509297,0.6335096737121734,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.8731108919068911,0.8798884675028965,0.06565883587538324,0.06565883587538314,0.0,1.0,False,False,0.46938486389113715,0.48469243194556855,0.1,clean,FedAvg
