alpha,scenario,method,method_label,macro_f1_auc_0_100_mean,macro_f1_auc_0_100_std,macro_f1_auc_0_100_median,macro_f1_auc_20_100_mean,macro_f1_auc_20_100_std,macro_f1_auc_20_100_median,balanced_accuracy_auc_0_100_mean,balanced_accuracy_auc_0_100_std,balanced_accuracy_auc_0_100_median,active_clients_auc_0_100_mean,active_clients_auc_0_100_std,active_clients_auc_0_100_median,mean_residual_energy_auc_0_100_mean,mean_residual_energy_auc_0_100_std,mean_residual_energy_auc_0_100_median,macro_f1_round15_mean,macro_f1_round15_std,macro_f1_round15_median,macro_f1_round20_mean,macro_f1_round20_std,macro_f1_round20_median,macro_f1_round25_mean,macro_f1_round25_std,macro_f1_round25_median,macro_f1_round40_mean,macro_f1_round40_std,macro_f1_round40_median,macro_f1_round100_mean,macro_f1_round100_std,macro_f1_round100_median,macro_f1_postattack_nadir_mean,macro_f1_postattack_nadir_std,macro_f1_postattack_nadir_median,macro_f1_postattack_nadir_round_mean,macro_f1_postattack_nadir_round_std,macro_f1_postattack_nadir_round_median,macro_f1_delta_round25_minus15_mean,macro_f1_delta_round25_minus15_std,macro_f1_delta_round25_minus15_median,macro_f1_delta_round40_minus15_mean,macro_f1_delta_round40_minus15_std,macro_f1_delta_round40_minus15_median,macro_f1_delta_round100_minus15_mean,macro_f1_delta_round100_minus15_std,macro_f1_delta_round100_minus15_median,macro_f1_final_recovery_from_nadir_mean,macro_f1_final_recovery_from_nadir_std,macro_f1_final_recovery_from_nadir_median,active_clients_round100_mean,active_clients_round100_std,active_clients_round100_median,mean_residual_energy_round100_mean,mean_residual_energy_round100_std,mean_residual_energy_round100_median,global_pressure_round20_mean,global_pressure_round20_std,global_pressure_round20_median,global_pressure_round40_mean,global_pressure_round40_std,global_pressure_round40_median,global_pressure_round100_mean,global_pressure_round100_std,global_pressure_round100_median,global_pressure_max_mean,global_pressure_max_std,global_pressure_max_median
0.1,labelflip_mu0p2,arl_fl,ARL-FL,0.3149677600626132,0.01816615896220903,0.30825204442417015,0.34940703664915523,0.02295877072059041,0.345052377172562,0.39427935921487456,0.01670444268366328,0.3900542751345467,27.3,0.30184617127124674,27.225,0.5484823486198428,0.02328538476957128,0.5474981007155348,0.2272360488152731,0.06439282441864029,0.2524348039028565,0.25758911568509973,0.0746769179311385,0.2532381432995471,0.23735286580963783,0.08215042727696398,0.22769662130113105,0.2814781974974397,0.06975498501741387,0.2812610213498153,0.4647308426290236,0.09050423828081386,0.47483258177547055,0.16957583262143372,0.04361166772827247,0.17374045126872964,42.5,19.184774055368898,40.0,0.010116816994364735,0.11392211865520017,0.06090372675980965,0.05424214868216658,0.07523867654036295,0.07108981025969002,0.23749479381375047,0.07388247290360811,0.22847763582725694,0.2951550100075898,0.11746675490253908,0.30088564203908186,21.2,2.780887148615228,21.5,0.2519692092645228,0.0278595895886087,0.24952149124356496,0.19152042159852403,0.00901686264610927,0.19489056404867489,0.2283903492481732,0.011133981443079,0.2273543258116869,0.2515272767637559,0.012111269816637817,0.25631893373076,0.2593450216008029,0.005749821172631691,0.25782772356928707
0.1,labelflip_mu0p2,fedavg,FedAvg,0.36666876131549736,0.0385024598213591,0.37116672150115687,0.39926621436233967,0.047431476396380644,0.4047031666706714,0.43411602829625184,0.030870212676464347,0.4374884954201164,25.615,0.7224764509810835,25.700000000000003,0.520873178916417,0.024097049642506245,0.5191289453318022,0.2921582859253503,0.03929619594296932,0.29157650198210355,0.3131162198374604,0.07840607556118404,0.3363479978442925,0.30442019613158233,0.09423466142013297,0.3246479293541017,0.3262265567382858,0.12664604335353574,0.33794666420051356,0.5129528163018444,0.10795083510511971,0.5044344871474835,0.18703355787859152,0.07114489223707571,0.19152445107174831,40.5,18.47671206922078,37.5,0.01226191020623198,0.08939424561316214,0.03043355318979893,0.03406827081293548,0.12637257257147017,0.058789037765014845,0.22079453037649405,0.10065116735629162,0.2525877471624056,0.32591925842325287,0.10307851905042612,0.3484691172656128,17.0,1.9436506316151,17.0,0.22244794942663418,0.024261808254005708,0.2189334403913561,,,,,,,,,,,,
0.1,labelflip_mu0p2,fedle_adapted,FedLE-adapted,0.3624948105193803,0.032292873175987315,0.3608103112442095,0.3952838033201279,0.04059994477274062,0.4027763174256008,0.43193663990279035,0.02906592217848411,0.43139464981109577,26.79,0.5069242766155746,26.85,0.5090622387625803,0.02170268411122508,0.5105448630327728,0.2987772850445271,0.07039621469999033,0.302771832556349,0.282008249068039,0.08215820693262806,0.28460979009332144,0.2737351050141332,0.07391694548542545,0.2537151051587839,0.30214084309765893,0.08017563476063928,0.3343222047487431,0.527517063733376,0.11481708413398871,0.5749091918668368,0.1774041576076676,0.0523098408323936,0.16841542574183072,38.0,20.70963275601209,35.0,-0.025042180030393945,0.0800420085304949,-0.041732431713091614,0.0033635580531317876,0.12039819974243063,0.02337608420970809,0.22873977868884893,0.15197261794328917,0.24050723577035302,0.35011290612570845,0.1207508706595292,0.3416309441004064,19.6,2.590581230363393,20.0,0.21475067947135545,0.024926898190469955,0.2122655160392954,,,,,,,,,,,,
0.1,labelflip_mu0p2,fedprox,FedProx,0.3651768791044834,0.03599271631776944,0.3742873696702903,0.3979238189800091,0.04339012133583481,0.4087641112337049,0.43304443187334174,0.028340159473552708,0.4401865047166459,25.615,0.7224764509810835,25.700000000000003,0.520873178916417,0.024097049642506245,0.5191289453318022,0.28833411913360185,0.047369701658669924,0.2909972258934555,0.3103954759662884,0.08087878999149253,0.33172604124514943,0.29833442682316985,0.08645039754824729,0.30201847487622857,0.3083861143120505,0.11359500544652741,0.32463383161359516,0.528334864252194,0.12018992500029577,0.5375808917139998,0.1861082026397195,0.06287297456918489,0.1942243983118676,41.0,15.951314818673865,40.0,0.010000307689568014,0.07211556188257305,0.02189051376846765,0.02005199517844867,0.13701236692352028,0.0077127995964302865,0.2400007451185921,0.11616594552436124,0.2575898250664504,0.34222666161247445,0.09648960935208538,0.35455701945258644,17.0,1.9436506316151,17.0,0.22244794942663418,0.024261808254005708,0.2189334403913561,,,,,,,,,,,,
0.1,labelflip_mu0p2,random_trimmed_mean,Random Trimmed Mean,0.3181730957170436,0.02826542257002474,0.31673882394742603,0.35055370113694595,0.02893007946802316,0.34708660010305464,0.3965678936885991,0.021059831059690608,0.39570464137716027,25.615,0.7224764509810835,25.700000000000003,0.520873178916417,0.024097049642506245,0.5191289453318022,0.21967424219478623,0.051558323658959945,0.208257720633506,0.30462214799703513,0.07794679975346346,0.2959698977823084,0.24787227880729118,0.07495291103687203,0.25685701019076734,0.3146089795813075,0.052051697563172176,0.31299499094553496,0.42076350747423963,0.09506498884603476,0.44016311193942687,0.1924118404511061,0.067900522247393,0.20355594114817416,40.5,22.662989897873384,32.5,0.028198036612504928,0.0737392042484716,0.0500147860437799,0.09493473738652128,0.060691111871924656,0.11781628388786827,0.20108926527945337,0.09819353486248104,0.21157854088108166,0.22835166702313353,0.10137573936248374,0.24124441657884474,17.0,1.9436506316151,17.0,0.22244794942663418,0.024261808254005708,0.2189334403913561,,,,,,,,,,,,
0.1,labelflip_mu0p2,tea_fl,TEA-FL,0.26625559412093935,0.04606627201232879,0.2625183088555336,0.2906592411986645,0.05166739635459864,0.28286718718635784,0.3586787858643522,0.039376341874181105,0.3583746435050229,26.047500000000003,0.35285541577882096,25.9375,0.5961935595872262,0.024802181700451162,0.5961658607927105,0.2252525849482267,0.06851542658640593,0.18926068420070385,0.2559620793841545,0.09871598936062913,0.2464212967680785,0.2541789325089764,0.04462087010316159,0.2600540061647555,0.2728373154177265,0.10296077020942128,0.24959498277415887,0.37897925449337955,0.07965353103471609,0.38689023779187415,0.17430916824923956,0.051280455876571776,0.18504553612593716,48.0,21.10818693198342,50.0,0.028926347560749643,0.07379696541138592,0.027502121595252255,0.04758473046949975,0.11456088993491806,0.006572669349196009,0.15372666954515288,0.0977636989589389,0.12523069020918332,0.20467008624414004,0.0714090864614903,0.20124970819035143,18.5,2.273030282830976,19.0,0.329553383446526,0.035989993784515055,0.325532043877364,,,,,,,,,,,,
0.1,labelflip_mu0p4,arl_fl,ARL-FL,0.24406673443333654,0.04262891150599646,0.25934942011083445,0.26193947688356656,0.049316115579627874,0.27603223962345336,0.3275581801221305,0.04234471461683397,0.3424349406795737,27.380000000000003,0.31131441769803553,27.4375,0.5472271201669638,0.024707584554595256,0.5453200366484652,0.22759286607072687,0.08170361391870604,0.2293212324323822,0.20945847197822348,0.06874880509857752,0.2096265908330805,0.26424040944734417,0.07563430684525768,0.25664108937227775,0.2524556275309197,0.10383253398109779,0.2930365535223507,0.25916489523175673,0.12565957164191952,0.2660299293283116,0.13076596266729146,0.047235533063874346,0.1270166607818128,57.0,28.20559440174157,47.5,0.036647543376617284,0.09372587981488156,0.012093368498354407,0.024862761460192832,0.15050598916575797,0.07502709929162055,0.03157202916102984,0.1295352713755706,0.0467611241023386,0.12839893256446525,0.1064752999122882,0.1338283170596864,22.4,2.0110804171997807,22.5,0.25014338164434097,0.029420654451731722,0.249612122201183,0.18751495063359494,0.01181483338046692,0.18827445240639046,0.22048255846430523,0.006548526221963616,0.22166882324773116,0.24295504474229798,0.015909860360348665,0.2457369363397417,0.2542687861836334,0.010545072431108601,0.25342290078821117
0.1,labelflip_mu0p4,fedavg,FedAvg,0.29104191650612216,0.06243440661242574,0.30886072705683953,0.3072050013068822,0.07568342758357131,0.3315485765707714,0.36618398317969314,0.06213080979076568,0.38595119430413477,25.615,0.7224764509810835,25.700000000000003,0.520873178916417,0.024097049642506245,0.5191289453318022,0.28666267133175427,0.049168819931033544,0.2937335009196929,0.24234922376137652,0.11400582023111172,0.2603231906587672,0.20725760375992155,0.09955279964755773,0.22263193676874665,0.25173537567517557,0.06525190626580242,0.23804625421471787,0.3778933526454952,0.09387053070882698,0.3826041086749796,0.12708204453441135,0.06317964637671912,0.1201732253700568,30.0,14.52966314513558,25.0,-0.07940506757183274,0.08635382961117441,-0.0921464865002337,-0.03492729565657868,0.0733758311937181,-0.06000597672156123,0.09123068131374092,0.10034630393249304,0.08707129028823185,0.2508113081110838,0.09488985985295244,0.22556456945064157,17.0,1.9436506316151,17.0,0.22244794942663418,0.024261808254005708,0.2189334403913561,,,,,,,,,,,,
0.1,labelflip_mu0p4,fedle_adapted,FedLE-adapted,0.2782916802951546,0.0555257722143141,0.2854799336389124,0.29275507003616,0.07238152659490436,0.30669042177643047,0.35569928664077166,0.05602068745114707,0.37231343473598155,26.79,0.5069242766155746,26.85,0.5090622387625803,0.02170268411122508,0.5105448630327728,0.2967654562030428,0.0767108466469365,0.2997309536576733,0.19936090436655624,0.10097660587409664,0.17869348547356617,0.22168683804035658,0.08925636703516807,0.216732398110082,0.2614940216898739,0.11326655589204151,0.25565517388766756,0.2885542597961776,0.10780965313184297,0.2827093269485425,0.135193516356223,0.05556114640846529,0.1305930394331468,41.5,19.010231163478494,37.5,-0.07507861816268624,0.14148267923176347,-0.0908948398773677,-0.03527143451316891,0.15516540695079772,-0.03491304553722986,-0.00821119640686522,0.11943756960253352,0.01714641543580113,0.1533607434399546,0.11307612166020724,0.1247520771602053,19.6,2.590581230363393,20.0,0.21475067947135545,0.024926898190469955,0.2122655160392954,,,,,,,,,,,,
0.1,labelflip_mu0p4,fedprox,FedProx,0.29858465933444245,0.06267691198046274,0.3103910215031745,0.3167581983689105,0.075525664251419,0.33427978192254487,0.37323702594159197,0.060934352998507975,0.38797230582144326,25.615,0.7224764509810835,25.700000000000003,0.520873178916417,0.024097049642506245,0.5191289453318022,0.2908193793913064,0.04537011866308237,0.2937645024317308,0.232101073351677,0.11538975678557219,0.2433863127698898,0.21368993143672457,0.09523681996805337,0.21111909010045238,0.2598425320442575,0.07231334320229309,0.258901377631206,0.3947880163840897,0.09403037939539731,0.4041325913227831,0.12288868985909392,0.051839141042130575,0.1116974031783981,34.0,18.07392228230128,27.5,-0.07712944795458189,0.08466888914293191,-0.09547951638147183,-0.030976847347048975,0.06570385812336928,-0.0376411473569597,0.10396863699278328,0.09754192364160985,0.08821076330194509,0.2718993265249958,0.10689475294432207,0.25922140637917324,17.0,1.9436506316151,17.0,0.22244794942663418,0.024261808254005708,0.2189334403913561,,,,,,,,,,,,
