run_id,condition_id,outer_fold,alpha,scenario,method,method_label,fl_seed,macro_f1_auc_0_100,macro_f1_auc_20_100,balanced_accuracy_auc_0_100,active_clients_auc_0_100,mean_residual_energy_auc_0_100,macro_f1_round15,macro_f1_round20,macro_f1_round25,macro_f1_round40,macro_f1_round100,macro_f1_postattack_nadir,macro_f1_postattack_nadir_round,macro_f1_delta_round25_minus15,macro_f1_delta_round40_minus15,macro_f1_delta_round100_minus15,macro_f1_final_recovery_from_nadir,active_clients_round100,mean_residual_energy_round100,global_pressure_round20,global_pressure_round40,global_pressure_round100,global_pressure_max
12,2,1,1.0,clean,arl_fl,ARL-FL,456,0.5972668779964795,0.6728231240050532,0.6419155871955788,27.575,0.5577343053479258,0.4477532029775613,0.4858047279445179,0.6074524123353751,0.754310534874008,0.707173444599524,0.4858047279445179,20,0.15969920935781373,0.3065573318964467,0.2594202416219627,0.22136871665500613,25.0,0.2660509388565563,0.1865536159177543,0.2655999223931372,0.2999732740988031,0.2999732740988031
13,3,1,1.0,signflip_mu0p2,fedavg,FedAvg,123,0.1059567676099811,0.049892816004535996,0.17698199892491404,27.1,0.5618074484081035,0.5078852969174262,0.2340497058964685,0.4720347645545511,0.0144208037825059,0.0144208037825059,0.0144208037825059,35,-0.03585053236287511,-0.49346449313492036,-0.49346449313492036,0.0,20.0,0.2517802310073818,,,,
14,3,1,1.0,signflip_mu0p2,fedprox,FedProx,123,0.10464017055554481,0.04630507196486588,0.17676340069854754,27.1,0.5618074484081035,0.5093095012679506,0.2350169060141956,0.420508797056616,0.0133333333333333,0.0144208037825059,0.0133333333333333,30,-0.08880070421133462,-0.4959761679346173,-0.49488869748544473,0.0010874704491726003,20.0,0.2517802310073818,,,,
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,Random Trimmed Mean,123,0.43756332396137376,0.45428751163531267,0.5066882271225817,27.1,0.5618074484081035,0.5405022628727253,0.3513136802270591,0.5981392670590032,0.3906207855861363,0.5322786342804551,0.3088633566473238,65,0.05763700418627793,-0.14988147728658902,-0.008223628592270216,0.2234152776331313,20.0,0.2517802310073818,,,,
16,3,1,1.0,signflip_mu0p2,fedle_adapted,FedLE-adapted,123,0.09287831604250624,0.025598527591040532,0.16126796032729243,27.275,0.5605464670285893,0.4619286770002109,0.3582932734442956,0.0193389365607006,0.0144208037825059,0.0144208037825059,0.0144208037825059,35,-0.44258974043951027,-0.447507873217705,-0.447507873217705,0.0,23.0,0.2701642703163318,,,,
17,3,1,1.0,signflip_mu0p2,tea_fl,TEA-FL,123,0.5202266987903571,0.5764993961634687,0.5750659088524135,24.675,0.606101717333312,0.3854264296573611,0.4625559750058887,0.4462086694428208,0.5430000010089527,0.6526422559066017,0.4462086694428208,25,0.06078223978545966,0.1575735713515916,0.2672158262492406,0.20643358646378096,15.0,0.3045316134110469,,,,
18,3,1,1.0,signflip_mu0p2,arl_fl,ARL-FL,123,0.49368977029434274,0.5329563426786941,0.5470701794584482,27.425,0.5863285092488258,0.4154601674491891,0.5581343296288531,0.5611348131721743,0.3254997270705517,0.5747212538573877,0.3254997270705517,40,0.14567464572298516,-0.08996044037863743,0.15926108640819858,0.249221526786836,23.0,0.2932279466758248,0.2218705649346765,0.3677729116101692,0.3142869548058516,0.4161683453344872
19,4,1,1.0,signflip_mu0p2,fedavg,FedAvg,456,0.10310830067471188,0.042646737794708574,0.1741367035960397,27.175,0.5327815359326127,0.4990963700139165,0.5088912484835655,0.0098230232180548,0.0152540381042997,0.0255571705426356,0.0098230232180548,25,-0.4892733467958617,-0.4838423319096168,-0.47353919947128087,0.0157341473245808,19.0,0.2219962195158867,,,,
20,4,1,1.0,signflip_mu0p2,fedprox,FedProx,456,0.13194142127525793,0.07842360713781567,0.21267777537668744,27.175,0.5327815359326127,0.4836189929109623,0.5214268073143368,0.0498509021973764,0.0144208037825059,0.0520252088462565,0.0144208037825059,40,-0.43376809071358585,-0.4691981891284564,-0.4315937840647058,0.037604405063750596,19.0,0.2219962195158867,,,,
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,Random Trimmed Mean,456,0.45536334837801834,0.4816637961818543,0.5170114565332169,27.175,0.5327815359326127,0.4450949823905947,0.5326716469960285,0.3929216397857281,0.3936924899249946,0.5112576912813941,0.2321474107794646,90,-0.05217334260486661,-0.05140249246560008,0.0661627088907994,0.2791102805019295,19.0,0.2219962195158867,,,,
22,4,1,1.0,signflip_mu0p2,fedle_adapted,FedLE-adapted,456,0.1096115529469094,0.0588897291470009,0.1868098267798928,27.65,0.5194430596004905,0.4005646271256176,0.4546195762914744,0.2497249722554035,0.0164100171099704,0.0279697440535547,0.0144208037825059,70,-0.15083965487021408,-0.38415461001564716,-0.3725948830720629,0.0135489402710488,24.0,0.2178586721551105,,,,
23,4,1,1.0,signflip_mu0p2,tea_fl,TEA-FL,456,0.5657251437105646,0.6300879903303354,0.616079085428387,24.9,0.5830878084409647,0.4461573343043241,0.4333042445042216,0.5775694196682731,0.6120523793258077,0.6778524178335558,0.4333042445042216,20,0.13141208536394905,0.1658950450214836,0.23169508352923168,0.24454817332933415,14.0,0.2859264319709976,,,,
24,4,1,1.0,signflip_mu0p2,arl_fl,ARL-FL,456,0.47570332044197366,0.5247194008157456,0.5398446290171174,27.375,0.554323551394096,0.4066212049054551,0.4327025507846511,0.520801544119594,0.5675317912182215,0.5912789150613037,0.1788093795335289,60,0.11418033921413889,0.1609105863127664,0.1846577101558486,0.41246953552777477,23.0,0.2604660362462145,0.1981639815406741,0.2563175478603914,0.2699339258390353,0.3616417123332259
25,5,1,1.0,signflip_mu0p4,fedavg,FedAvg,123,0.08407056879725161,0.02204441633044779,0.15602789870588216,27.1,0.5618074484081035,0.5085416979191574,0.2606089605434267,0.0143487858719646,0.0143487858719646,0.0143487858719646,0.0143487858719646,25,-0.4941929120471928,-0.4941929120471928,-0.4941929120471928,0.0,20.0,0.2517802310073818,,,,
26,5,1,1.0,signflip_mu0p4,fedprox,FedProx,123,0.08371572038776952,0.02195697111946767,0.1561606087860115,27.1,0.5618074484081035,0.5125309929593137,0.257810713792063,0.0143487858719646,0.0143487858719646,0.0143487858719646,0.0143487858719646,25,-0.4981822070873491,-0.4981822070873491,-0.4981822070873491,0.0,20.0,0.2517802310073818,,,,
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,Random Trimmed Mean,123,0.12055921441889751,0.057300536016611434,0.1954669227492611,27.1,0.5618074484081035,0.5483370098602826,0.3830804534930747,0.392982044358047,0.0143487858719646,0.0143487858719646,0.0143487858719646,40,-0.15535496550223554,-0.5339882239883179,-0.5339882239883179,0.0,20.0,0.2517802310073818,,,,
28,5,1,1.0,signflip_mu0p4,fedle_adapted,FedLE-adapted,123,0.09054548483011045,0.02120900865860002,0.15839259509849968,27.275,0.5605464670285893,0.5380529946784611,0.2338759150442981,0.0143487858719646,0.0143487858719646,0.0143487858719646,0.0143487858719646,25,-0.5237042088064965,-0.5237042088064965,-0.5237042088064965,0.0,23.0,0.2701642703163318,,,,
29,5,1,1.0,signflip_mu0p4,tea_fl,TEA-FL,123,0.526823912516493,0.5909926046699102,0.5817678647406183,25.2,0.604051515382888,0.3794677149625851,0.2737653227096931,0.4741059131583424,0.6066665766409037,0.6704212238603846,0.2737653227096931,20,0.0946381981957573,0.22719886167831865,0.29095350889779953,0.3966559011506915,18.0,0.319123362105529,,,,
30,5,1,1.0,signflip_mu0p4,arl_fl,ARL-FL,123,0.10553270421652501,0.04548694346110553,0.18055824549495525,27.6,0.5860427736438847,0.4465694269375245,0.4493887591222124,0.1646300561200611,0.0143487858719646,0.0143487858719646,0.0143487858719646,35,-0.2819393708174634,-0.4322206410655599,-0.4322206410655599,0.0,26.0,0.2914736103199212,0.2508314365181823,0.2228373509764299,0.2862364881036199,0.501475979197097
31,6,1,1.0,signflip_mu0p4,fedavg,FedAvg,456,0.0786040974463184,0.021023677084996972,0.1488600151153222,27.175,0.5327815359326127,0.4880691570589233,0.2279453046890006,0.0143487858719646,0.0143487858719646,0.0143487858719646,0.0143487858719646,25,-0.4737203711869587,-0.4737203711869587,-0.4737203711869587,0.0,19.0,0.2219962195158867,,,,
32,6,1,1.0,signflip_mu0p4,fedprox,FedProx,456,0.08165224304184944,0.02249365069308019,0.15091308904561113,27.175,0.5327815359326127,0.4886180157678693,0.2749844601476635,0.0143487858719646,0.0143487858719646,0.0143487858719646,0.0143487858719646,25,-0.4742692298959047,-0.4742692298959047,-0.4742692298959047,0.0,19.0,0.2219962195158867,,,,
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,Random Trimmed Mean,456,0.10315761288390383,0.04191895791061288,0.17777913766471806,27.175,0.5327815359326127,0.4497708707650076,0.5101616678173352,0.0502231436715004,0.0155771195097037,0.0144208037825059,0.0125259294718366,55,-0.3995477270935072,-0.4341937512553039,-0.4353500669825017,0.0018948743106693006,19.0,0.2219962195158867,,,,
34,6,1,1.0,signflip_mu0p4,fedle_adapted,FedLE-adapted,456,0.06706467677937825,0.017400161896436755,0.1425416717069068,27.65,0.5194430596004905,0.4202475021253074,0.1344350919660785,0.0136248415716096,0.0136248415716096,0.0136248415716096,0.0136248415716096,25,-0.40662266055369783,-0.40662266055369783,-0.40662266055369783,0.0,24.0,0.2178586721551105,,,,
35,6,1,1.0,signflip_mu0p4,tea_fl,TEA-FL,456,0.5753096762743263,0.6391838350734977,0.6226450843090098,24.85,0.5702519540823922,0.4488149116617245,0.4999999188273791,0.5457259228765033,0.7488177419267884,0.4410276137544662,0.4410276137544662,100,0.09691101121477885,0.3000028302650639,-0.007787297907258295,0.0,14.0,0.2669212226830096,,,,
36,6,1,1.0,signflip_mu0p4,arl_fl,ARL-FL,456,0.09569057395009745,0.050546906037867975,0.1879123037417302,26.925,0.5485497648166168,0.3989503756578694,0.4418693812411607,0.0448995094294783,0.0502897973363594,0.0133333333333333,0.0098230232180548,30,-0.3540508662283911,-0.34866057832151,-0.3856170423245361,0.0035103101152784994,23.0,0.2510301654232419,0.2268294878925321,0.2123012677799334,0.304854059746988,0.448493484418514
37,7,1,1.0,labelflip_mu0p2,fedavg,FedAvg,123,0.5636491723103556,0.6151188766083113,0.6065411359768099,27.1,0.5618074484081035,0.5218666087354775,0.4483688176981287,0.6207471368459926,0.4728805914561365,0.759167950020998,0.3666279538864592,30,0.09888052811051506,-0.04898601727934104,0.2373013412855205,0.3925399961345388,20.0,0.2517802310073818,,,,
38,7,1,1.0,labelflip_mu0p2,fedprox,FedProx,123,0.5561915839206719,0.6078246165638399,0.602086259112343,27.1,0.5618074484081035,0.5220244040426668,0.3843802500245925,0.6085898434383655,0.5087876788532454,0.7577288104496019,0.3392068466957714,30,0.08656543939569872,-0.013236725189421428,0.23570440640693513,0.41852196375383055,20.0,0.2517802310073818,,,,
39,7,1,1.0,labelflip_mu0p2,random_trimmed_mean,Random Trimmed Mean,123,0.5946938206916872,0.6495833157899906,0.635001805015241,27.1,0.5618074484081035,0.5375268155983645,0.405847677664731,0.6218982957190393,0.5529518764678792,0.7649897727204663,0.405847677664731,20,0.08437148012067486,0.015425060869514784,0.22746295712210185,0.3591420950557353,20.0,0.2517802310073818,,,,
