alpha,scenario,method,method_label,round,n_runs,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_ci95_low,test_macro_f1_ci95_high,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_ci95_low,test_balanced_accuracy_ci95_high,active_clients_mean,active_clients_std,active_clients_ci95_low,active_clients_ci95_high,mean_residual_energy_mean,mean_residual_energy_std,mean_residual_energy_ci95_low,mean_residual_energy_ci95_high,global_pressure_mean,global_pressure_std,global_pressure_ci95_low,global_pressure_ci95_high
1.0,clean,fedavg,FedAvg,0,10,0.01609087313920187,0.013901911560994011,0.006146044697851382,0.026035701580552358,0.08686762240013177,0.013057844160576017,0.077526603402775,0.09620864139748854,28.0,0.0,28.0,28.0,0.846142275246185,0.01941488061683745,0.8322537063183344,0.8600308441740356,,,,
1.0,clean,fedavg,FedAvg,5,10,0.34744743259039795,0.0744416430072769,0.2941950891733396,0.4006997760074563,0.4270139112502916,0.07074006157602002,0.3764095196730956,0.4776183028274876,28.0,0.0,28.0,28.0,0.814488403232868,0.01975544430453218,0.800356209719102,0.8286205967466339,,,,
1.0,clean,fedavg,FedAvg,10,10,0.4270822711670149,0.06213969836310915,0.3826302088080308,0.47153433352599905,0.5000098548967342,0.0478452084444001,0.46578345461842663,0.5342362551750418,28.0,0.0,28.0,28.0,0.7828461648799379,0.020452505972828165,0.7682153234878689,0.7974770062720068,,,,
1.0,clean,fedavg,FedAvg,15,10,0.5033112662779209,0.04904382279361498,0.4682274289473069,0.5383951036085348,0.5644567524739729,0.04267471786267309,0.53392909834056,0.5949844066073857,28.0,0.0,28.0,28.0,0.7512721167591332,0.021118830597564177,0.7361646154451411,0.7663796180731253,,,,
1.0,clean,fedavg,FedAvg,20,10,0.5458327564723315,0.040013363401357596,0.5172089206320566,0.5744565923126065,0.5912627707192263,0.03344452723750609,0.5673379971929523,0.6151875442455003,28.0,0.0,28.0,28.0,0.7201077964980684,0.021886451277820282,0.7044511724292892,0.7357644205668477,,,,
1.0,clean,fedavg,FedAvg,25,10,0.5841548189545482,0.06398449421184965,0.5383830691450616,0.6299265687640349,0.6230344951810777,0.05390166831533102,0.5844755645083655,0.6615934258537899,28.0,0.0,28.0,28.0,0.6885400982747492,0.02272538576892314,0.6722833366241026,0.7047968599253958,,,,
1.0,clean,fedavg,FedAvg,30,10,0.6287865974068607,0.04062193820320677,0.5997274133792831,0.6578457814344383,0.6579021528368445,0.03513598083205557,0.6327673863005806,0.6830369193731084,28.0,0.0,28.0,28.0,0.6573938165686163,0.02343456645174027,0.6406297376189354,0.6741578955182972,,,,
1.0,clean,fedavg,FedAvg,35,10,0.6139724447847968,0.07477772006039875,0.5604796863268495,0.6674652032427442,0.6510867151139791,0.05833317829559776,0.6093576731730052,0.692815757054953,28.0,0.0,28.0,28.0,0.6262662241259017,0.024512792894592454,0.6087308284441264,0.643801619807677,,,,
1.0,clean,fedavg,FedAvg,40,10,0.6658877834526894,0.059035879206255935,0.6236560595624443,0.7081195073429345,0.6877001499930232,0.04561023861175157,0.6550725508191368,0.7203277491669096,28.0,0.0,28.0,28.0,0.5943433552678176,0.025895598331844433,0.5758187601668903,0.6128679503687449,,,,
1.0,clean,fedavg,FedAvg,45,10,0.6727563831349543,0.059260498001418874,0.6303639766383786,0.7151487896315301,0.6957648385845605,0.049475425617418044,0.6603722511933026,0.7311574259758185,28.0,0.0,28.0,28.0,0.5628902988644019,0.026902382209516035,0.5436454939637623,0.5821351037650415,,,,
1.0,clean,fedavg,FedAvg,50,10,0.6908240581692432,0.055211988951686435,0.6513277805802783,0.7303203357582081,0.705505211718736,0.044172909519517654,0.6739058158371318,0.7371046076003402,28.0,0.0,28.0,28.0,0.5316171171654378,0.0272211370026331,0.5121442888222306,0.551089945508645,,,,
1.0,clean,fedavg,FedAvg,55,10,0.7053909219470873,0.06598258968768313,0.6581898207401744,0.7525920231540002,0.7246705699492447,0.04810498154017825,0.6902583391928869,0.7590828007056025,27.9,0.3162277660168379,27.673784283720178,28.12621571627982,0.4999240585846804,0.02731188973929114,0.4803863096445692,0.5194618075247917,,,,
1.0,clean,fedavg,FedAvg,60,10,0.7284909447750112,0.04237456296366828,0.6981780085214624,0.75880388102856,0.735905088976857,0.03364964587602211,0.7118335824159773,0.7599765955377368,27.9,0.3162277660168379,27.673784283720178,28.12621571627982,0.4688819862422675,0.027883785034012887,0.44893512805358493,0.4888288444309501,,,,
1.0,clean,fedavg,FedAvg,65,10,0.7537998589663446,0.04708568515190653,0.7201167889205679,0.7874829290121214,0.7585002239044935,0.034154201641645704,0.7340677798922276,0.7829326679167593,27.8,0.4216370213557839,27.49837904496024,28.10162095503976,0.4375683965220696,0.028992297572541292,0.4168285562335956,0.45830823681054356,,,,
1.0,clean,fedavg,FedAvg,70,10,0.7573112751969218,0.0480924154410005,0.7229080336863918,0.7917145167074517,0.7614188042174072,0.03710025086347343,0.7348788835489773,0.787958724885837,27.0,1.247219128924647,26.107793182865038,27.892206817134962,0.40583875053470414,0.029541648553005073,0.38470592822855365,0.42697157284085463,,,,
1.0,clean,fedavg,FedAvg,75,10,0.7657130861144965,0.04446771644970317,0.733902798059456,0.797523374169537,0.7668975359453795,0.03698865558222343,0.7404374457320656,0.7933576261586933,26.6,1.577621275493231,25.471437725569672,27.72856227443033,0.374682460226925,0.02974846743773028,0.3534016886033012,0.39596323185054877,,,,
1.0,clean,fedavg,FedAvg,80,10,0.7626274916845512,0.04450495134847613,0.7307905673875303,0.7944644159815721,0.7683426385526807,0.038582997824014906,0.7407420246062205,0.7959432524991409,25.5,2.273030282830976,23.87397208969641,27.12602791030359,0.34408181038134755,0.02990370601448908,0.3226899877697663,0.3654736329929288,,,,
1.0,clean,fedavg,FedAvg,85,10,0.7732963952164101,0.0358779522348996,0.7476308543130891,0.7989619361197312,0.7739660154138271,0.033211405260830607,0.7502080073035015,0.7977240235241528,24.8,2.573367875415838,22.959123518718226,26.640876481281776,0.3134104313150977,0.03005113216592859,0.2919131463879635,0.3349077162422319,,,,
1.0,clean,fedavg,FedAvg,90,10,0.7827339632674433,0.041528783487341674,0.7530260612032129,0.8124418653316736,0.7827135972179831,0.03351943823023236,0.7587352355957292,0.8066919588402369,23.5,2.9154759474226504,21.41439414681984,25.58560585318016,0.2828548154278359,0.029888930478427448,0.26147356259801574,0.3042360682576561,,,,
1.0,clean,fedavg,FedAvg,95,10,0.7765708923998103,0.030513834860212703,0.7547426099049087,0.7983991748947118,0.778169050095668,0.030003222697467913,0.7567060375376585,0.7996320626536774,22.4,3.6575644598253874,19.783536004631046,25.01646399536895,0.2532755874049368,0.030220187768274245,0.2316573673851716,0.274893807424702,,,,
1.0,clean,fedavg,FedAvg,100,10,0.787712564381936,0.03988642521003209,0.7591795346534571,0.816245594110415,0.7861246665805715,0.034409473329246265,0.7615096122036817,0.8107397209574612,19.1,3.4140233677518315,16.657754806733504,21.5422451932665,0.2261716510613875,0.026265348431731915,0.2073825526730223,0.2449607494497527,,,,
1.0,clean,fedprox,FedProx,0,10,0.01609087313920187,0.013901911560994011,0.006146044697851382,0.026035701580552358,0.08686762240013177,0.013057844160576017,0.077526603402775,0.09620864139748854,28.0,0.0,28.0,28.0,0.846142275246185,0.01941488061683745,0.8322537063183344,0.8600308441740356,,,,
1.0,clean,fedprox,FedProx,5,10,0.33732792426939,0.08493637539449687,0.27656810156281986,0.39808774697596017,0.41770259648961644,0.07917557466386303,0.36106380236962604,0.47434139060960684,28.0,0.0,28.0,28.0,0.814488403232868,0.01975544430453218,0.800356209719102,0.8286205967466339,,,,
1.0,clean,fedprox,FedProx,10,10,0.4283432427529461,0.05956869787015833,0.3857303633518483,0.4709561221540439,0.5021830642040414,0.044981389104262776,0.4700053168681534,0.5343608115399293,28.0,0.0,28.0,28.0,0.7828461648799379,0.020452505972828165,0.7682153234878689,0.7974770062720068,,,,
1.0,clean,fedprox,FedProx,15,10,0.49668833098030135,0.05413733192255919,0.4579608167186725,0.5354158452419302,0.5595388364579359,0.04779269708138246,0.5253500005458049,0.5937276723700669,28.0,0.0,28.0,28.0,0.7512721167591332,0.021118830597564177,0.7361646154451411,0.7663796180731253,,,,
