method,macro_f1_mean,macro_f1_std,macro_f1_median,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,total_normalized_energy_consumed_mean,total_normalized_energy_consumed_std,total_normalized_energy_consumed_median,final_mean_residual_energy_mean,final_mean_residual_energy_std,final_mean_residual_energy_median,final_active_clients_mean,final_active_clients_std,final_active_clients_median,jain_participation_fairness_mean,jain_participation_fairness_std,jain_participation_fairness_median,method_label,macro_f1_benefit_norm,macro_f1_rank,balanced_accuracy_benefit_norm,balanced_accuracy_rank,total_normalized_energy_consumed_benefit_norm,total_normalized_energy_consumed_rank,final_mean_residual_energy_benefit_norm,final_mean_residual_energy_rank,final_active_clients_benefit_norm,final_active_clients_rank,jain_participation_fairness_benefit_norm,jain_participation_fairness_rank,score_effectiveness_energy,score_balanced_four_objective,score_retention_priority,rank_effectiveness_energy,rank_balanced_four_objective,rank_retention_priority,pareto_macro_f1_energy,pareto_four_objective
arl_fl,0.4376071070488659,0.26778068595954957,0.49031439686214273,0.4847385481975966,0.2432076823678884,0.5426833717968818,16.52459876491024,0.40911620487842637,16.52902867391758,0.25597803364224775,0.0288906635890809,0.25376485190192566,23.3,2.3591643786850813,24.0,0.8660085655745223,0.02487110925104179,0.8658009900262145,ARL-FL,0.5802965338315007,2.0,0.5601015040389973,2.0,0.4380608309013747,2.0,0.4380608309013759,2.0,1.0,1.0,0.6131205604179337,5.0,0.5091786823664377,0.6578694812877023,0.6826840370839903,2.0,1.0,1.0,False,True
tea_fl,0.5022500779197479,0.1947373172118336,0.48976287882855396,0.553755381774169,0.16603823328831677,0.5510219255299844,15.263593121265279,0.7633167156824224,15.469149484693247,0.3010139494867106,0.03562039211696759,0.2975011830555382,16.17,2.4331672836660925,16.0,0.7019266395418096,0.06087249616026041,0.708463279432866,TEA-FL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,6.0,1.0,0.5,0.55,1.0,2.0,2.0,True,True
random_trimmed_mean,0.4187273933047909,0.2659517419413658,0.45137883154088965,0.4666729717171454,0.24016967403391262,0.5056870344089452,17.41130930006087,0.30718111296179545,17.433287487831585,0.22430980024401084,0.02417932226752488,0.22217975411422708,18.05,2.8511029232189906,17.5,0.9695443588381031,0.012852207607664073,0.9711180529550505,Random Trimmed Mean,0.45771737028277537,3.0,0.4449553938715128,3.0,0.04291796705719564,4.0,0.042917967057195826,4.0,0.26367461430575023,4.0,1.0,2.0,0.2503176686699855,0.4410774879114303,0.3978870573021356,3.0,3.0,3.0,False,True
fedprox,0.3765900793677405,0.31844692548321085,0.4469652293319447,0.41958187642815226,0.2910540674830314,0.4798082311248918,17.41130930006087,0.30718111296179545,17.433287487831585,0.22430980024401084,0.02417932226752488,0.22217975411422708,18.05,2.8511029232189906,17.5,0.9695443588381031,0.012852207607664073,0.9711180529550505,FedProx,0.1841350074032183,4.0,0.14480685159158868,4.0,0.04291796705719564,4.0,0.042917967057195826,4.0,0.26367461430575023,4.0,1.0,2.0,0.11352648723020697,0.37268189719154105,0.3021332302942906,4.0,4.0,5.0,False,False
fedavg,0.37074028309532325,0.3155925689450914,0.4397005850174225,0.41560626779867205,0.28831839185466374,0.4871659885882247,17.41130930006087,0.30718111296179545,17.433287487831585,0.22430980024401084,0.02417932226752488,0.22217975411422708,18.05,2.8511029232189906,17.5,0.9695443588381031,0.012852207607664073,0.9711180529550505,FedAvg,0.1461543926691418,5.0,0.11946717479089039,5.0,0.04291796705719564,4.0,0.042917967057195826,4.0,0.26367461430575023,4.0,1.0,2.0,0.09453617986316872,0.36318674350802194,0.2888400151373638,5.0,5.0,6.0,False,False
fedle_adapted,0.34822949891187854,0.3047294753067833,0.3354374650805356,0.39686274810921823,0.27959502843077594,0.41404005987940173,17.5076182987016,0.4329270984764777,17.540868480462947,0.22087019314969905,0.028700094623670253,0.21791387293278364,20.52,2.6948510575210287,20.5,0.9233783826705819,0.018941839555266328,0.9214732786707807,FedLE-adapted,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.6100981767180923,2.0,0.8274928271232728,4.0,0.0,0.35939775096034127,0.3071533770839186,6.0,6.0,4.0,False,True
