index,alpha,scenario,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,method_label,rank_within_condition_activity
32,0.1,clean,5,6,Cycling,fedle_adapted,0.9048823278084954,0.043786830439189774,0.9242250287026408,FedLE-adapted,1.0
33,0.1,clean,5,6,Cycling,fedprox,0.8951330353783842,0.0556209544055142,0.9061848143512725,FedProx,2.0
34,0.1,clean,5,6,Cycling,random_trimmed_mean,0.8327765365180685,0.11495794035429452,0.8632422365141259,Random Trimmed Mean,4.0
35,0.1,clean,5,6,Cycling,tea_fl,0.730747327747139,0.273528970444165,0.8075606974091576,TEA-FL,6.0
36,0.1,clean,6,7,Nordic walking,arl_fl,0.7736851241970045,0.19026437275960192,0.8230728335991493,ARL-FL,3.0
37,0.1,clean,6,7,Nordic walking,fedavg,0.7743738576700349,0.2808249596720383,0.8769257888242552,FedAvg,2.0
38,0.1,clean,6,7,Nordic walking,fedle_adapted,0.6472681288468767,0.3180279296731666,0.8060152430082643,FedLE-adapted,5.0
39,0.1,clean,6,7,Nordic walking,fedprox,0.7805649817843829,0.2465280011928753,0.8740344622697565,FedProx,1.0
40,0.1,clean,6,7,Nordic walking,random_trimmed_mean,0.6591583860803834,0.20261061665402014,0.6865941219961197,Random Trimmed Mean,4.0
41,0.1,clean,6,7,Nordic walking,tea_fl,0.6402735574202169,0.2692289429558715,0.7317617866004963,TEA-FL,6.0
42,0.1,clean,7,12,Ascending stairs,arl_fl,0.5298106023805271,0.19437056930353105,0.5674989931534434,ARL-FL,5.0
43,0.1,clean,7,12,Ascending stairs,fedavg,0.6017058152170358,0.20927464647479455,0.6908815924281602,FedAvg,2.0
44,0.1,clean,7,12,Ascending stairs,fedle_adapted,0.54602733595205,0.2642815366125367,0.6258183306055647,FedLE-adapted,4.0
45,0.1,clean,7,12,Ascending stairs,fedprox,0.683402217504986,0.10881104362983465,0.7118518518518518,FedProx,1.0
46,0.1,clean,7,12,Ascending stairs,random_trimmed_mean,0.5610351603801128,0.14828746578711335,0.5941202752211598,Random Trimmed Mean,3.0
47,0.1,clean,7,12,Ascending stairs,tea_fl,0.2682953654264484,0.3376200354008687,0.06374269005847949,TEA-FL,6.0
48,0.1,clean,8,13,Descending stairs,arl_fl,0.4765276563234494,0.2663545958821288,0.49355544215207403,ARL-FL,5.0
49,0.1,clean,8,13,Descending stairs,fedavg,0.6433870397801134,0.24713974873866357,0.7339339339339339,FedAvg,2.0
50,0.1,clean,8,13,Descending stairs,fedle_adapted,0.5101298522414063,0.2872547571498157,0.61198409693298,FedLE-adapted,4.0
51,0.1,clean,8,13,Descending stairs,fedprox,0.6447753871898871,0.25677590494261004,0.7308018350453775,FedProx,1.0
52,0.1,clean,8,13,Descending stairs,random_trimmed_mean,0.5170404814169718,0.23496101843168968,0.5765605362379556,Random Trimmed Mean,3.0
53,0.1,clean,8,13,Descending stairs,tea_fl,0.23813613529072467,0.22721395816285186,0.19615384615384615,TEA-FL,6.0
54,0.1,clean,9,16,Vacuum cleaning,arl_fl,0.630162368863291,0.19686401951264026,0.689031339031339,ARL-FL,3.0
55,0.1,clean,9,16,Vacuum cleaning,fedavg,0.6039753987991703,0.2024223622337109,0.6206419479800775,FedAvg,4.0
56,0.1,clean,9,16,Vacuum cleaning,fedle_adapted,0.6945712106537469,0.12139913524288572,0.7137995337995338,FedLE-adapted,1.0
57,0.1,clean,9,16,Vacuum cleaning,fedprox,0.6746700353884367,0.12644256389417813,0.6579609655880843,FedProx,2.0
58,0.1,clean,9,16,Vacuum cleaning,random_trimmed_mean,0.5762208477283453,0.226125878846695,0.6736327201214807,Random Trimmed Mean,5.0
59,0.1,clean,9,16,Vacuum cleaning,tea_fl,0.5190653720518751,0.21768313851140117,0.5570313825275657,TEA-FL,6.0
60,0.1,clean,10,17,Ironing,arl_fl,0.5526312472987074,0.317014507763843,0.6267796122687959,ARL-FL,1.0
61,0.1,clean,10,17,Ironing,fedavg,0.5114326458873644,0.33952623539405,0.6553728070175439,FedAvg,4.0
62,0.1,clean,10,17,Ironing,fedle_adapted,0.5357240174252389,0.27820447136358567,0.6510701967944816,FedLE-adapted,2.0
63,0.1,clean,10,17,Ironing,fedprox,0.5085885997504371,0.34190638209445035,0.6354749750630757,FedProx,5.0
64,0.1,clean,10,17,Ironing,random_trimmed_mean,0.4792875349143103,0.3404245073062435,0.5938427022310857,Random Trimmed Mean,6.0
65,0.1,clean,10,17,Ironing,tea_fl,0.5356010626077754,0.21421338389857067,0.5852470930232558,TEA-FL,3.0
66,0.1,clean,11,24,Rope jumping,arl_fl,0.01643835616438356,0.051982646468521305,0.0,ARL-FL,5.0
67,0.1,clean,11,24,Rope jumping,fedavg,0.23391657812695543,0.37159662105326474,0.0,FedAvg,2.0
68,0.1,clean,11,24,Rope jumping,fedle_adapted,0.15882348602166121,0.31713734263077265,0.0,FedLE-adapted,3.0
69,0.1,clean,11,24,Rope jumping,fedprox,0.30684245594370757,0.40461913440003044,0.0,FedProx,1.0
70,0.1,clean,11,24,Rope jumping,random_trimmed_mean,0.005787901418969369,0.013001411359817918,0.0,Random Trimmed Mean,6.0
71,0.1,clean,11,24,Rope jumping,tea_fl,0.03380281690140845,0.10689389273808605,0.0,TEA-FL,4.0
72,0.1,labelflip_mu0p2,0,1,Lying,arl_fl,0.4145902024253957,0.384177600116131,0.4850289141143713,ARL-FL,2.0
