index,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,class_f1_min,class_f1_max,method_label,rank_within_activity
0,0,1,Lying,arl_fl,0.4730660874160055,0.41180898956581397,0.5431034482758621,0.0,0.96986301369863,ARL-FL,2.0
1,0,1,Lying,fedavg,0.3902515413732037,0.42405020832108536,0.0850312543752007,0.0,0.9668508287292816,FedAvg,4.0
2,0,1,Lying,fedle_adapted,0.37856418459546026,0.43049184745217955,0.0054644808743169,0.0,0.967391304347826,FedLE-adapted,5.0
3,0,1,Lying,fedprox,0.4085865498409868,0.4250217932427214,0.2738430814410415,0.0,0.96986301369863,FedProx,3.0
4,0,1,Lying,random_trimmed_mean,0.33831949089391544,0.404807998179837,0.01898588775845085,0.0,0.9675675675675676,Random Trimmed Mean,6.0
5,0,1,Lying,tea_fl,0.487668142357385,0.41349200097141,0.6693735601630338,0.0,0.9696969696969696,TEA-FL,1.0
6,1,2,Sitting,arl_fl,0.24818378612666336,0.24895799960907317,0.1656361408199643,0.0,0.7453416149068323,ARL-FL,2.0
7,1,2,Sitting,fedavg,0.21028497897574783,0.25213445949326424,0.0485324947589098,0.0,0.7836538461538461,FedAvg,4.0
8,1,2,Sitting,fedle_adapted,0.17738765507399354,0.2354672567350577,0.0029411764705882,0.0,0.6613226452905812,FedLE-adapted,6.0
9,1,2,Sitting,fedprox,0.1922784343787841,0.2434691407541648,0.0,0.0,0.8009708737864077,FedProx,5.0
10,1,2,Sitting,random_trimmed_mean,0.24945351360468934,0.2365409046086481,0.25589680589680586,0.0,0.7448275862068966,Random Trimmed Mean,1.0
11,1,2,Sitting,tea_fl,0.22661562058142803,0.23776607763992838,0.13223200464396284,0.0,0.8298368298368298,TEA-FL,3.0
12,2,3,Standing,arl_fl,0.21174918735202636,0.21645617186418173,0.1775624932231239,0.0,0.7300771208226221,ARL-FL,2.0
13,2,3,Standing,fedavg,0.19558911797586906,0.23026349260677903,0.01590377753168445,0.0,0.6694736842105263,FedAvg,6.0
14,2,3,Standing,fedle_adapted,0.20018088021081915,0.2338430176806218,0.0722503525189078,0.0,0.7225130890052356,FedLE-adapted,5.0
15,2,3,Standing,fedprox,0.20138253699778752,0.23001330051360233,0.049427938316827146,0.0,0.6753731343283582,FedProx,4.0
16,2,3,Standing,random_trimmed_mean,0.20217130521629226,0.2121644146560393,0.1739256976545112,0.0,0.69377990430622,Random Trimmed Mean,3.0
17,2,3,Standing,tea_fl,0.2800383734968678,0.19930641139935845,0.30440812880660917,0.0,0.6581352833638026,TEA-FL,1.0
18,3,4,Walking,arl_fl,0.6349615324733905,0.3798418093478135,0.8270421164058399,0.0,0.979591836734694,ARL-FL,2.0
19,3,4,Walking,fedavg,0.48263640156477533,0.4229739584998827,0.5668210194141456,0.0,0.9821882951653944,FedAvg,4.0
20,3,4,Walking,fedle_adapted,0.45584133308072877,0.41640239808253776,0.4837535014005602,0.0,0.979591836734694,FedLE-adapted,6.0
21,3,4,Walking,fedprox,0.47670059291703226,0.43061968458297045,0.5726360218106246,0.0,0.9821882951653944,FedProx,5.0
22,3,4,Walking,random_trimmed_mean,0.5938241566702626,0.3846206987264417,0.7247225526463706,0.0,0.9822784810126582,Random Trimmed Mean,3.0
23,3,4,Walking,tea_fl,0.702994836019197,0.34124564974525695,0.8633652563947145,0.0,0.9795081967213116,TEA-FL,1.0
24,4,5,Running,arl_fl,0.5041753467181751,0.4485828017889916,0.758142948894394,0.0,0.9758713136729222,ARL-FL,3.0
25,4,5,Running,fedavg,0.4430616517305756,0.44248627379809174,0.41861213235294115,0.0,0.9758713136729222,FedAvg,5.0
26,4,5,Running,fedle_adapted,0.425868427606113,0.4436953511546983,0.2004177876547797,0.0,0.9758713136729222,FedLE-adapted,6.0
27,4,5,Running,fedprox,0.45061300713192876,0.44512566185959757,0.32672413793103444,0.0,0.9784172661870504,FedProx,4.0
28,4,5,Running,random_trimmed_mean,0.5421058442068266,0.43504744623648894,0.7913248906609524,0.0,0.9731182795698924,Random Trimmed Mean,2.0
29,4,5,Running,tea_fl,0.6664927063386551,0.36491319314954285,0.8184880636604774,0.0,0.9710144927536232,TEA-FL,1.0
30,5,6,Cycling,arl_fl,0.6184993299300584,0.3717150055452927,0.7860774487471527,0.0,0.9629629629629628,ARL-FL,2.0
31,5,6,Cycling,fedavg,0.5011587352992328,0.42392928502888616,0.6755260243632337,0.0,0.9642857142857144,FedAvg,5.0
32,5,6,Cycling,fedle_adapted,0.4779252815423969,0.42818292596875757,0.5696623214022685,0.0,0.969187675070028,FedLE-adapted,6.0
33,5,6,Cycling,fedprox,0.5045392897168336,0.4259341324961886,0.755997083211174,0.0,0.9642857142857144,FedProx,4.0
34,5,6,Cycling,random_trimmed_mean,0.6107221210154639,0.3806184701821658,0.7997462499598497,0.0,0.960212201591512,Random Trimmed Mean,3.0
35,5,6,Cycling,tea_fl,0.7347851977714036,0.28650920084557746,0.8571763276640055,0.0,0.9637305699481864,TEA-FL,1.0
36,6,7,Nordic walking,arl_fl,0.5379090634083439,0.40060619508683404,0.6560530534267331,0.0,0.9875930521091812,ARL-FL,2.0
