modal_floor_value,absolute_tolerance,alpha,method_id,scenario_id,n_runs,floor_count,floor_rate
0.12445842684,1e-12,0.1,FEDAVG,CLEAN,5,0,0.0
0.12445842684,1e-12,0.1,FEDAVG,SIGNFLIP_MU0P2,5,2,0.4
0.12445842684,1e-12,0.1,FEDAVG,SIGNFLIP_MU0P4,5,3,0.6
0.12445842684,1e-12,0.1,FEDPROX,CLEAN,5,0,0.0
0.12445842684,1e-12,0.1,FEDPROX,SIGNFLIP_MU0P2,5,2,0.4
0.12445842684,1e-12,0.1,FEDPROX,SIGNFLIP_MU0P4,5,4,0.8
0.12445842684,1e-12,0.1,RANDOM_TRIMMED_MEAN,CLEAN,5,0,0.0
0.12445842684,1e-12,0.1,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,5,1,0.2
0.12445842684,1e-12,0.1,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,5,3,0.6
0.12445842684,1e-12,0.1,FEDLE_ADAPTED,CLEAN,5,0,0.0
0.12445842684,1e-12,0.1,FEDLE_ADAPTED,SIGNFLIP_MU0P2,5,2,0.4
0.12445842684,1e-12,0.1,FEDLE_ADAPTED,SIGNFLIP_MU0P4,5,3,0.6
0.12445842684,1e-12,0.1,TEA_FL,CLEAN,5,1,0.2
0.12445842684,1e-12,0.1,TEA_FL,SIGNFLIP_MU0P2,5,1,0.2
0.12445842684,1e-12,0.1,TEA_FL,SIGNFLIP_MU0P4,5,4,0.8
0.12445842684,1e-12,0.1,ARL_FL,CLEAN,5,0,0.0
0.12445842684,1e-12,0.1,ARL_FL,SIGNFLIP_MU0P2,5,1,0.2
0.12445842684,1e-12,0.1,ARL_FL,SIGNFLIP_MU0P4,5,3,0.6
0.12445842684,1e-12,1.0,FEDAVG,CLEAN,5,0,0.0
0.12445842684,1e-12,1.0,FEDAVG,SIGNFLIP_MU0P2,5,0,0.0
0.12445842684,1e-12,1.0,FEDAVG,SIGNFLIP_MU0P4,5,0,0.0
0.12445842684,1e-12,1.0,FEDPROX,CLEAN,5,0,0.0
0.12445842684,1e-12,1.0,FEDPROX,SIGNFLIP_MU0P2,5,0,0.0
0.12445842684,1e-12,1.0,FEDPROX,SIGNFLIP_MU0P4,5,0,0.0
0.12445842684,1e-12,1.0,RANDOM_TRIMMED_MEAN,CLEAN,5,0,0.0
0.12445842684,1e-12,1.0,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P2,5,0,0.0
0.12445842684,1e-12,1.0,RANDOM_TRIMMED_MEAN,SIGNFLIP_MU0P4,5,0,0.0
0.12445842684,1e-12,1.0,FEDLE_ADAPTED,CLEAN,5,0,0.0
0.12445842684,1e-12,1.0,FEDLE_ADAPTED,SIGNFLIP_MU0P2,5,0,0.0
0.12445842684,1e-12,1.0,FEDLE_ADAPTED,SIGNFLIP_MU0P4,5,0,0.0
0.12445842684,1e-12,1.0,TEA_FL,CLEAN,5,0,0.0
0.12445842684,1e-12,1.0,TEA_FL,SIGNFLIP_MU0P2,5,0,0.0
0.12445842684,1e-12,1.0,TEA_FL,SIGNFLIP_MU0P4,5,0,0.0
0.12445842684,1e-12,1.0,ARL_FL,CLEAN,5,0,0.0
0.12445842684,1e-12,1.0,ARL_FL,SIGNFLIP_MU0P2,5,0,0.0
0.12445842684,1e-12,1.0,ARL_FL,SIGNFLIP_MU0P4,5,0,0.0
