ArtifactRole,FileName,SizeBytes,SHA256
SPLIT_PROTOCOL,FROZEN_TRANSFORMED_UNIQUE_SPLIT_PROTOCOL.json,4061,AA5A9E77DE4B2D0A3E93927DB51AF4F89EF1373EBDCE159486DB289EF7EE0A20
ALLOCATION_ALGORITHM,FROZEN_SPLIT_ALLOCATION_ALGORITHM.json,2007,AE9BD94B6E96A0E3728EFDDD4766DF3EE480393012B2547662DB39A0283C6389
SPLIT_TARGETS,FROZEN_SPLIT_TARGETS.csv,335,AA35385E08AEEB2578AE4A6F26E7F9FF9C2C2E90B48A82F4741F9B0717AB6018
SPLIT_SEED,FROZEN_SPLIT_SEED.json,372,C66BDCE08FA13BB47043DE00B44107745AA868FE6BE0AF423751D91435315D7A
