ExperimentalSeed,ScheduleSHA256,Rounds,SelectedPerRound,ExactParticipationsPerClient,MaximumConsecutiveAbsence,MeanAdjacentRoundOverlap,IdenticalRoundPairs
42,9E533AA8D23FC5258FC10AD239C0506467461F3AA6CCE204D4D9A1048724C14C,20,9,6,5,0.736842105263,0
123,9CC38E2EC2FCA53079C74F4CE72AF80601FE0212DB03CB184B54EB8DE9804EC8,20,9,6,5,0.789473684211,0
456,E06E16FB26BAFFDB8193CF898D3131AE33332B587BBE3F5B36B2200A40E6028E,20,9,6,5,0.736842105263,0
789,41651FAD85B24721F41C889DC78992BB0BD3488AD855928B2AFEFFE3413BE5B7,20,9,6,5,0.842105263158,0
999,5EE06159510CD661D478E45A9483EF73DC48194F1A1F3CC000E14FFC31422F9E,20,9,6,5,1.000000000000,0
