run_id,condition_id,outer_fold,outer_test_subject,alpha,scenario,attack,malicious_count,method,fl_seed,model_seed,random_schedule_seed,early_stop_round,completed_training_rounds,loss,accuracy,balanced_accuracy,macro_f1,first_client_dropout_round,active_client_lifetime_75pct,active_client_lifetime_50pct,final_active_clients,final_mean_residual_energy,final_min_residual_energy,total_normalized_energy_consumed,jain_participation_fairness,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_file_manifest_sha256,run_manifest_entries,class_00_f1,class_01_f1,class_02_f1,class_03_f1,class_04_f1,class_05_f1,class_06_f1,class_07_f1,class_08_f1,class_09_f1,class_10_f1,class_11_f1
1,1,1,101,1.0,clean,none,0,fedavg,123,466359210,904643126,,100,0.6375167236565062,0.8084886128364389,0.8153355871459693,0.8116013884444223,75,100,100,20,0.25178023100738184,0.08236896738623524,17.489808267000218,0.9695089437200058,6034,F2D6F4F2ACFD29EB1FC41A167CCDA75C609CD669E521CCA80765FC35E68EDD58,E75E73E24395665CA5C3AFCD683CF35C4D4FD814A562F05DC789247FF5F32A45,11,0.7988668555240793,0.2830188679245283,0.5889101338432122,0.9190751445086706,0.9655172413793104,0.9577464788732394,0.9240924092409241,0.825531914893617,0.8682926829268293,0.9111747851002865,0.7615062761506276,0.9354838709677419
2,1,1,101,1.0,clean,none,0,fedprox,123,466359210,904643126,,100,0.6514035336225916,0.8012422360248447,0.8088056306925426,0.804765136097887,75,100,100,20,0.25178023100738184,0.08236896738623524,17.489808267000218,0.9695089437200058,6034,84A7707C2EB3CA591FF5AF759932FD36679C8A42C2DD15DC45E0F2A7EE0523FA,BDFAC939862861365EE1138C48C5B3F9F8D39A9158A3FFAFA7B315B136C28B73,11,0.792022792022792,0.25,0.5681381957773513,0.9190751445086706,0.9622641509433962,0.96045197740113,0.9235880398671097,0.8305084745762712,0.8695652173913043,0.9048991354466859,0.746938775510204,0.9297297297297298
3,1,1,101,1.0,clean,none,0,random_trimmed_mean,123,466359210,904643126,,100,0.7556284377910583,0.7520703933747412,0.7339917600704031,0.6960220941939087,75,100,100,20,0.25178023100738184,0.08236896738623524,17.489808267000218,0.9695089437200058,6034,751872F9F346343D678732635D62225972771DB8315D91E17950EE6E3FE73884,314C2B7D2A342968DA32AF16C005002FB0A13FA5353F20CF09ED11E3A49CD12E,11,0.7977207977207977,0.09424083769633508,0.5698324022346368,0.9262536873156342,0.8774928774928775,0.9497206703910615,0.9240924092409241,0.6870748299319728,0.8815165876777251,0.8953488372093024,0.7489711934156379,0.0
4,1,1,101,1.0,clean,none,0,fedle_adapted,123,466359210,904643126,,100,0.7085541429819527,0.7883022774327122,0.7640802773654326,0.7495980142438824,70,100,100,23,0.2701642703163318,0.07588864187205663,16.97505516634962,0.8702841477742483,5851,ACAD52F7A05288CC9E9272CF791543B1E7DC0132D2EB319F40AA08054B14FD5C,FA1B9A3CA219B96BB309CA39C55F696F167FBEEE579DF404D5C20913DD5A1AE2,15,0.8378378378378378,0.5861182519280206,0.5196374622356495,0.9461077844311377,0.77,0.9505494505494505,0.9240924092409241,0.9217391304347826,0.8663594470046083,0.8925619834710744,0.7801724137931034,0.0
5,1,1,101,1.0,clean,none,0,tea_fl,123,466359210,904643126,,100,1.4253333425669936,0.6677018633540373,0.6313664618467733,0.5896406790759917,70,95,100,18,0.33894242324326745,0.08107150286372865,15.04926688439542,0.6681812107443539,5143,2E9A8F989829E47D6E1C0DD8D24E444D50301ACDA7005B2D26DEC8AE15E34230,92A475FB1F6FF6A5281404298195FDC3B245D635B9BDC1680B2A52739247BE20,11,0.8011363636363636,0.1568627450980392,0.398989898989899,0.8518518518518519,0.8415300546448088,0.9545454545454546,0.6666666666666666,0.6389776357827476,0.20634920634920634,0.8733850129198967,0.6853932584269663,0.0
6,1,1,101,1.0,clean,none,0,arl_fl,123,466359210,904643126,,100,0.8113387144994044,0.7743271221532091,0.7466064289218594,0.7244255553841593,85,100,100,25,0.2996506930657363,0.07998633130534386,16.149435329366295,0.830987524799784,5533,7E537D9C9CFE1E46CCF67122CF04C254927F81535166ED8492E015E071EEAE63,38A7B33E099A79EBAD55B9C025BF1677CBAEB15D93F42FD4E27AFA6E5D3B36CC,11,0.8264462809917356,0.6160337552742616,0.358974358974359,0.9384164222873901,0.8717948717948718,0.957983193277311,0.9042904290429042,0.8489795918367347,0.6482213438735178,0.9157303370786517,0.8062360801781737,0.0
7,2,1,101,1.0,clean,none,0,fedavg,456,1039791761,2129548108,,100,0.623133386961545,0.8493788819875776,0.849687081159712,0.8564331189329115,70,100,100,19,0.2219962195158867,0.07399594345523339,17.511807157818943,0.9805724091438377,6027,0AC7E83A54250C1AB7AEDD9EA20FC7F350F9A333C6E348EB5846265721FE585E,86711134BF7253EA5DC85B2310F0A7B011A9B285E78D8F70B73B89162BAC98EA,11,0.8222222222222222,0.7034482758620689,0.6694736842105263,0.9408284023668639,0.9595015576323987,0.9637883008356546,0.9121621621621622,0.8171206225680934,0.845771144278607,0.9159420289855073,0.8208616780045351,0.9060773480662984
8,2,1,101,1.0,clean,none,0,fedprox,456,1039791761,2129548108,,100,0.6442303937044203,0.8084886128364389,0.8138302545951239,0.8067825205614851,70,100,100,19,0.2219962195158867,0.07399594345523339,17.511807157818943,0.9805724091438377,6027,7D5BF14EE7CF1BBB3E00B7F4F4B8BFBF3E0D0F83C2A1D0689967068A6A06763A,D1F578AABC13193BA7733C692B88BDC4C6A82D93974F9C8092FA47387A46BC97,11,0.8156424581005587,0.1941747572815534,0.5787545787545788,0.9248554913294798,0.9595015576323987,0.9637883008356546,0.92,0.847457627118644,0.8436018957345972,0.927536231884058,0.8,0.9060773480662984
9,2,1,101,1.0,clean,none,0,random_trimmed_mean,456,1039791761,2129548108,,100,0.819930347658339,0.7665631469979296,0.7461910940996402,0.7278559332991041,70,100,100,19,0.2219962195158867,0.07399594345523339,17.511807157818943,0.9805724091438377,6027,A4098EAF5531F41CE17149D369AE0A793B9CF7016E61EF6779F53053209DC130,54F8008172E22099C5AC4AF9ECD7E51195AF040280549F61DEAC2329D9045E8B,11,0.7202380952380952,0.5969387755102041,0.4657534246575342,0.9436201780415431,0.9595015576323987,0.953168044077135,0.9306930693069307,0.8666666666666667,0.6305084745762712,0.9014925373134328,0.7656903765690377,0.0
10,2,1,101,1.0,clean,none,0,fedle_adapted,456,1039791761,2129548108,,100,0.6374865953596482,0.8260869565217391,0.8290067712079213,0.83464959571285,90,100,100,24,0.21785867215511054,0.0744176579573751,17.627658483920676,0.9553265425538267,6051,7ACC9F1F30017B4A2FC5C7539A0A9BAA5539D20DD8CFBD18FD44DC7F36361F4E,17178938BEE1083BB36BDE2A8E7D8BAE23BC85073C24E133FFBFC8BB3379BDD1,15,0.8351648351648352,0.6018099547511312,0.3888888888888889,0.9560117302052786,0.9595015576323987,0.969187675070028,0.9140893470790378,0.8770491803278688,0.8990825688073395,0.9261363636363636,0.7827956989247312,0.9060773480662984
11,2,1,101,1.0,clean,none,0,tea_fl,456,1039791761,2129548108,,100,1.26880170087143,0.7365424430641822,0.7153031117778289,0.6733226431029312,65,90,100,17,0.30018273670363305,0.08441747316846648,15.322584676562045,0.6962273182193986,5198,4C30245798B4B0FEADE7F2DB1E020A571997697132A471A9B7E33AF963BC0F3E,B0B8E62F58517697345EDF6F4DED2664717ABB41B80E0840A3F49BA527299A46,11,0.7977207977207977,0.0,0.5475728155339806,0.9217391304347826,0.9625,0.9545454545454546,0.8050314465408805,0.6752411575562701,0.8042328042328042,0.8688946015424165,0.742393509127789,0.0
