run_id,condition_id,outer_fold,alpha,scenario,method,fl_seed,class_index,class_f1
9,2,1,1.0,clean,random_trimmed_mean,456,3,0.9436201780415431
9,2,1,1.0,clean,random_trimmed_mean,456,4,0.9595015576323987
9,2,1,1.0,clean,random_trimmed_mean,456,5,0.953168044077135
9,2,1,1.0,clean,random_trimmed_mean,456,6,0.9306930693069307
9,2,1,1.0,clean,random_trimmed_mean,456,7,0.8666666666666667
9,2,1,1.0,clean,random_trimmed_mean,456,8,0.6305084745762712
9,2,1,1.0,clean,random_trimmed_mean,456,9,0.9014925373134328
9,2,1,1.0,clean,random_trimmed_mean,456,10,0.7656903765690377
9,2,1,1.0,clean,random_trimmed_mean,456,11,0.0
10,2,1,1.0,clean,fedle_adapted,456,0,0.8351648351648352
10,2,1,1.0,clean,fedle_adapted,456,1,0.6018099547511312
10,2,1,1.0,clean,fedle_adapted,456,2,0.3888888888888889
10,2,1,1.0,clean,fedle_adapted,456,3,0.9560117302052786
10,2,1,1.0,clean,fedle_adapted,456,4,0.9595015576323987
10,2,1,1.0,clean,fedle_adapted,456,5,0.969187675070028
10,2,1,1.0,clean,fedle_adapted,456,6,0.9140893470790378
10,2,1,1.0,clean,fedle_adapted,456,7,0.8770491803278688
10,2,1,1.0,clean,fedle_adapted,456,8,0.8990825688073395
10,2,1,1.0,clean,fedle_adapted,456,9,0.9261363636363636
10,2,1,1.0,clean,fedle_adapted,456,10,0.7827956989247312
10,2,1,1.0,clean,fedle_adapted,456,11,0.9060773480662984
11,2,1,1.0,clean,tea_fl,456,0,0.7977207977207977
11,2,1,1.0,clean,tea_fl,456,1,0.0
11,2,1,1.0,clean,tea_fl,456,2,0.5475728155339806
11,2,1,1.0,clean,tea_fl,456,3,0.9217391304347826
11,2,1,1.0,clean,tea_fl,456,4,0.9625
11,2,1,1.0,clean,tea_fl,456,5,0.9545454545454546
11,2,1,1.0,clean,tea_fl,456,6,0.8050314465408805
11,2,1,1.0,clean,tea_fl,456,7,0.6752411575562701
11,2,1,1.0,clean,tea_fl,456,8,0.8042328042328042
11,2,1,1.0,clean,tea_fl,456,9,0.8688946015424165
11,2,1,1.0,clean,tea_fl,456,10,0.742393509127789
11,2,1,1.0,clean,tea_fl,456,11,0.0
12,2,1,1.0,clean,arl_fl,456,0,0.8089887640449438
12,2,1,1.0,clean,arl_fl,456,1,0.6257928118393234
12,2,1,1.0,clean,arl_fl,456,2,0.34854771784232363
12,2,1,1.0,clean,arl_fl,456,3,0.8456375838926175
12,2,1,1.0,clean,arl_fl,456,4,0.9655172413793104
12,2,1,1.0,clean,arl_fl,456,5,0.9427792915531336
12,2,1,1.0,clean,arl_fl,456,6,0.8111455108359134
12,2,1,1.0,clean,arl_fl,456,7,0.8605577689243028
12,2,1,1.0,clean,arl_fl,456,8,0.6423841059602649
12,2,1,1.0,clean,arl_fl,456,9,0.9041916167664671
12,2,1,1.0,clean,arl_fl,456,10,0.7305389221556886
12,2,1,1.0,clean,arl_fl,456,11,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,0,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,1,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,2,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,3,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,4,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,5,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,6,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,7,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,8,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,9,0.0
13,3,1,1.0,signflip_mu0p2,fedavg,123,10,0.17304964539007092
13,3,1,1.0,signflip_mu0p2,fedavg,123,11,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,0,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,1,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,2,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,3,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,4,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,5,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,6,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,7,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,8,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,9,0.0
14,3,1,1.0,signflip_mu0p2,fedprox,123,10,0.17304964539007092
14,3,1,1.0,signflip_mu0p2,fedprox,123,11,0.0
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,0,0.11607142857142858
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,1,0.0
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,2,0.4588235294117647
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,3,0.7297921478060047
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,4,0.9589905362776026
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,5,0.9418282548476454
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,6,0.42790697674418604
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,7,0.65
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,8,0.4594594594594595
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,9,0.8797653958944281
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,10,0.7647058823529411
15,3,1,1.0,signflip_mu0p2,random_trimmed_mean,123,11,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,0,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,1,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,2,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,3,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,4,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,5,0.17304964539007092
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,6,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,7,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,8,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,9,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,10,0.0
16,3,1,1.0,signflip_mu0p2,fedle_adapted,123,11,0.0
17,3,1,1.0,signflip_mu0p2,tea_fl,123,0,0.6681818181818182
17,3,1,1.0,signflip_mu0p2,tea_fl,123,1,0.2598870056497175
17,3,1,1.0,signflip_mu0p2,tea_fl,123,2,0.3183673469387755
17,3,1,1.0,signflip_mu0p2,tea_fl,123,3,0.913946587537092
17,3,1,1.0,signflip_mu0p2,tea_fl,123,4,0.8169761273209549
17,3,1,1.0,signflip_mu0p2,tea_fl,123,5,0.9577464788732394
17,3,1,1.0,signflip_mu0p2,tea_fl,123,6,0.8686868686868687
17,3,1,1.0,signflip_mu0p2,tea_fl,123,7,0.7342657342657343
17,3,1,1.0,signflip_mu0p2,tea_fl,123,8,0.7027027027027027
17,3,1,1.0,signflip_mu0p2,tea_fl,123,9,0.8651399491094147
17,3,1,1.0,signflip_mu0p2,tea_fl,123,10,0.7258064516129032
17,3,1,1.0,signflip_mu0p2,tea_fl,123,11,0.0
18,3,1,1.0,signflip_mu0p2,arl_fl,123,0,0.0
18,3,1,1.0,signflip_mu0p2,arl_fl,123,1,0.47865853658536583
18,3,1,1.0,signflip_mu0p2,arl_fl,123,2,0.18357487922705315
18,3,1,1.0,signflip_mu0p2,arl_fl,123,3,0.8760330578512396
18,3,1,1.0,signflip_mu0p2,arl_fl,123,4,0.9589905362776026
18,3,1,1.0,signflip_mu0p2,arl_fl,123,5,0.9144385026737968
18,3,1,1.0,signflip_mu0p2,arl_fl,123,6,0.7985347985347986
18,3,1,1.0,signflip_mu0p2,arl_fl,123,7,0.6808510638297872
18,3,1,1.0,signflip_mu0p2,arl_fl,123,8,0.4094488188976378
18,3,1,1.0,signflip_mu0p2,arl_fl,123,9,0.8537313432835821
18,3,1,1.0,signflip_mu0p2,arl_fl,123,10,0.742393509127789
18,3,1,1.0,signflip_mu0p2,arl_fl,123,11,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,0,0.3066860465116279
19,4,1,1.0,signflip_mu0p2,fedavg,456,1,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,2,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,3,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,4,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,5,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,6,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,7,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,8,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,9,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,10,0.0
19,4,1,1.0,signflip_mu0p2,fedavg,456,11,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,0,0.4369942196531792
20,4,1,1.0,signflip_mu0p2,fedprox,456,1,0.03056768558951965
20,4,1,1.0,signflip_mu0p2,fedprox,456,2,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,3,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,4,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,5,0.05930470347648262
20,4,1,1.0,signflip_mu0p2,fedprox,456,6,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,7,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,8,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,9,0.0
20,4,1,1.0,signflip_mu0p2,fedprox,456,10,0.09743589743589744
20,4,1,1.0,signflip_mu0p2,fedprox,456,11,0.0
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,0,0.09049773755656108
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,1,0.4748427672955975
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,2,0.1919191919191919
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,3,0.23478260869565218
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,4,0.9622641509433962
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,5,0.9418282548476454
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,6,0.5165289256198347
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,7,0.6403940886699507
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,8,0.44866920152091255
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,9,0.8864265927977839
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,10,0.746938775510204
21,4,1,1.0,signflip_mu0p2,random_trimmed_mean,456,11,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,0,0.3033788641265277
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,1,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,2,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,3,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,4,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,5,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,6,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,7,0.03225806451612903
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,8,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,9,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,10,0.0
22,4,1,1.0,signflip_mu0p2,fedle_adapted,456,11,0.0
23,4,1,1.0,signflip_mu0p2,tea_fl,456,0,0.8342541436464088
23,4,1,1.0,signflip_mu0p2,tea_fl,456,1,0.7267441860465116
23,4,1,1.0,signflip_mu0p2,tea_fl,456,2,0.6442577030812325
23,4,1,1.0,signflip_mu0p2,tea_fl,456,3,0.36792452830188677
23,4,1,1.0,signflip_mu0p2,tea_fl,456,4,0.8555555555555555
23,4,1,1.0,signflip_mu0p2,tea_fl,456,5,0.8963730569948186
23,4,1,1.0,signflip_mu0p2,tea_fl,456,6,0.5978947368421053
23,4,1,1.0,signflip_mu0p2,tea_fl,456,7,0.8244897959183674
23,4,1,1.0,signflip_mu0p2,tea_fl,456,8,0.73224043715847
23,4,1,1.0,signflip_mu0p2,tea_fl,456,9,0.9014084507042254
23,4,1,1.0,signflip_mu0p2,tea_fl,456,10,0.7530864197530864
23,4,1,1.0,signflip_mu0p2,tea_fl,456,11,0.0
24,4,1,1.0,signflip_mu0p2,arl_fl,456,0,0.27049180327868855
24,4,1,1.0,signflip_mu0p2,arl_fl,456,1,0.49411764705882355
24,4,1,1.0,signflip_mu0p2,arl_fl,456,2,0.1932367149758454
24,4,1,1.0,signflip_mu0p2,arl_fl,456,3,0.4675324675324675
24,4,1,1.0,signflip_mu0p2,arl_fl,456,4,0.9655172413793104
24,4,1,1.0,signflip_mu0p2,arl_fl,456,5,0.9322493224932249
24,4,1,1.0,signflip_mu0p2,arl_fl,456,6,0.674937965260546
24,4,1,1.0,signflip_mu0p2,arl_fl,456,7,0.8699186991869918
24,4,1,1.0,signflip_mu0p2,arl_fl,456,8,0.6068965517241379
24,4,1,1.0,signflip_mu0p2,arl_fl,456,9,0.8913649025069638
24,4,1,1.0,signflip_mu0p2,arl_fl,456,10,0.7290836653386454
24,4,1,1.0,signflip_mu0p2,arl_fl,456,11,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,0,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,1,0.17218543046357615
25,5,1,1.0,signflip_mu0p4,fedavg,123,2,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,3,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,4,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,5,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,6,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,7,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,8,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,9,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,10,0.0
25,5,1,1.0,signflip_mu0p4,fedavg,123,11,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,0,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,1,0.17218543046357615
26,5,1,1.0,signflip_mu0p4,fedprox,123,2,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,3,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,4,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,5,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,6,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,7,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,8,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,9,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,10,0.0
26,5,1,1.0,signflip_mu0p4,fedprox,123,11,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,0,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,1,0.17218543046357615
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,2,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,3,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,4,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,5,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,6,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,7,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,8,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,9,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,10,0.0
27,5,1,1.0,signflip_mu0p4,random_trimmed_mean,123,11,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,0,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,1,0.17218543046357615
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,2,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,3,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,4,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,5,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,6,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,7,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,8,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,9,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,10,0.0
28,5,1,1.0,signflip_mu0p4,fedle_adapted,123,11,0.0
29,5,1,1.0,signflip_mu0p4,tea_fl,123,0,0.815
29,5,1,1.0,signflip_mu0p4,tea_fl,123,1,0.1238390092879257
29,5,1,1.0,signflip_mu0p4,tea_fl,123,2,0.3431372549019608
29,5,1,1.0,signflip_mu0p4,tea_fl,123,3,0.8293963254593176
29,5,1,1.0,signflip_mu0p4,tea_fl,123,4,0.7777777777777778
29,5,1,1.0,signflip_mu0p4,tea_fl,123,5,0.9606741573033708
29,5,1,1.0,signflip_mu0p4,tea_fl,123,6,0.7364341085271318
29,5,1,1.0,signflip_mu0p4,tea_fl,123,7,0.8451882845188284
29,5,1,1.0,signflip_mu0p4,tea_fl,123,8,0.8584905660377359
29,5,1,1.0,signflip_mu0p4,tea_fl,123,9,0.8972972972972973
29,5,1,1.0,signflip_mu0p4,tea_fl,123,10,0.8578199052132701
29,5,1,1.0,signflip_mu0p4,tea_fl,123,11,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,0,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,1,0.17218543046357615
30,5,1,1.0,signflip_mu0p4,arl_fl,123,2,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,3,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,4,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,5,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,6,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,7,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,8,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,9,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,10,0.0
30,5,1,1.0,signflip_mu0p4,arl_fl,123,11,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,0,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,1,0.17218543046357615
31,6,1,1.0,signflip_mu0p4,fedavg,456,2,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,3,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,4,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,5,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,6,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,7,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,8,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,9,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,10,0.0
31,6,1,1.0,signflip_mu0p4,fedavg,456,11,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,0,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,1,0.17218543046357615
32,6,1,1.0,signflip_mu0p4,fedprox,456,2,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,3,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,4,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,5,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,6,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,7,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,8,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,9,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,10,0.0
32,6,1,1.0,signflip_mu0p4,fedprox,456,11,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,0,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,1,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,2,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,3,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,4,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,5,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,6,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,7,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,8,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,9,0.0
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,10,0.17304964539007092
33,6,1,1.0,signflip_mu0p4,random_trimmed_mean,456,11,0.0
34,6,1,1.0,signflip_mu0p4,fedle_adapted,456,0,0.0
34,6,1,1.0,signflip_mu0p4,fedle_adapted,456,1,0.0
