run_id,condition_id,outer_fold,alpha,scenario,method,fl_seed,round,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,active_clients,mean_residual_energy,min_residual_energy,global_pressure,scientific_optimizer_steps_accounted
1,1,1,1.0,clean,fedavg,123,0,2.558967541710437,0.05331262939958592,0.07981734751646256,0.017538679829129496,28,0.8764162405431037,0.7059668942550444,,0
1,1,1,1.0,clean,fedavg,123,5,1.58012176448514,0.4440993788819876,0.4044897544655918,0.2881872241020133,28,0.8438882363625897,0.6614701400621806,,318
1,1,1,1.0,clean,fedavg,123,10,1.2932972212015472,0.5108695652173914,0.4644592830154009,0.3842099526444038,28,0.8128229654622475,0.6156375961384802,,620
1,1,1,1.0,clean,fedavg,123,15,1.1554835504133014,0.620600414078675,0.5753832624863439,0.5088958086787025,28,0.7805310131424006,0.5899330161025246,,934
1,1,1,1.0,clean,fedavg,123,20,1.1365655628543956,0.6092132505175983,0.5641671840648673,0.5047991879729311,28,0.7495876807789724,0.541023856030613,,1229
1,1,1,1.0,clean,fedavg,123,25,1.0426990852592894,0.6454451345755694,0.6354587242122576,0.5922759189196934,28,0.7176778204618187,0.5254798774835895,,1527
1,1,1,1.0,clean,fedavg,123,30,1.0241197318023776,0.6609730848861284,0.6238862770750216,0.5742837874925618,28,0.6871223325038969,0.43898636909786165,,1818
1,1,1,1.0,clean,fedavg,123,35,1.0554046073068497,0.6288819875776398,0.6149236184832427,0.553014962426584,28,0.6564561166685535,0.43648636909786165,,2115
1,1,1,1.0,clean,fedavg,123,40,1.1594256920350512,0.6687370600414079,0.6341677144174808,0.5917029100028561,28,0.625131069029506,0.41298799200142966,,2411
1,1,1,1.0,clean,fedavg,123,45,1.0024815489293133,0.6542443064182195,0.6150292438756063,0.5840605994492115,28,0.5950777371180888,0.38948961490499767,,2701
1,1,1,1.0,clean,fedavg,123,50,0.9149636829861943,0.6832298136645962,0.652239345910547,0.6299763839226377,28,0.5621560040299851,0.3842707561927604,,3015
1,1,1,1.0,clean,fedavg,123,55,0.9284316603996738,0.6625258799171843,0.6485289277219137,0.5923522846560257,28,0.5293477360310864,0.32199433332861976,,3326
1,1,1,1.0,clean,fedavg,123,60,0.8987314057522926,0.739648033126294,0.7167897046278099,0.6884056379499547,28,0.4977419724745061,0.24451816130334875,,3630
1,1,1,1.0,clean,fedavg,123,65,0.7089353380242737,0.8048654244306418,0.7871428009546296,0.783722057862431,28,0.46875488056551257,0.18247319718749244,,3914
1,1,1,1.0,clean,fedavg,123,70,0.825434102281527,0.7453416149068323,0.7513964923833508,0.7478446619997308,28,0.43626377711059466,0.1502007151295643,,4232
1,1,1,1.0,clean,fedavg,123,75,0.6926120134614269,0.7908902691511387,0.783154011469421,0.7815431456661797,27,0.40364670379684864,0.08815575101370798,,4549
1,1,1,1.0,clean,fedavg,123,80,0.6676654679311235,0.8084886128364389,0.8058621872986796,0.8139799509805989,26,0.37281071270302213,0.08748633130534403,,4842
