alpha,scenario,method,n_runs,n_outer_folds,n_fl_seeds,early_stop_count,loss_mean,loss_std,loss_median,loss_min,loss_max,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_min,macro_f1_max,final_active_clients_mean,final_active_clients_std,final_active_clients_median,final_active_clients_min,final_active_clients_max,final_mean_residual_energy_mean,final_mean_residual_energy_std,final_mean_residual_energy_median,final_mean_residual_energy_min,final_mean_residual_energy_max,final_min_residual_energy_mean,final_min_residual_energy_std,final_min_residual_energy_median,final_min_residual_energy_min,final_min_residual_energy_max,total_normalized_energy_consumed_mean,total_normalized_energy_consumed_std,total_normalized_energy_consumed_median,total_normalized_energy_consumed_min,total_normalized_energy_consumed_max,jain_participation_fairness_mean,jain_participation_fairness_std,jain_participation_fairness_median,jain_participation_fairness_min,jain_participation_fairness_max,scientific_optimizer_steps_accounted_mean,scientific_optimizer_steps_accounted_std,scientific_optimizer_steps_accounted_median,scientific_optimizer_steps_accounted_min,scientific_optimizer_steps_accounted_max
1.0,clean,fedavg,10,5,2,1,0.6349977538517535,0.10576396369563974,0.6274871422804648,0.5036427072421356,0.8655075239503155,0.7950474802691985,0.03427623756878643,0.7984625885220025,0.7457044673539519,0.8493788819875776,0.7861246665805715,0.034409473329246265,0.7851963899826673,0.725322743985824,0.849687081159712,0.787712564381936,0.03988642521003209,0.786312982003837,0.7157006777370624,0.8564331189329115,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,clean,fedprox,10,5,2,1,0.6214882886639315,0.09144999981705579,0.6204428619715301,0.5162727654219229,0.790537538865529,0.7944152760860345,0.029872318509984386,0.8048654244306418,0.7432498772704959,0.8282329713721619,0.7854107980896062,0.02575418719214622,0.7925947019007684,0.7457072484984657,0.8138302545951239,0.7870632834230393,0.027409034785769965,0.7879667759573004,0.7493568427851925,0.8217814029564289,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,clean,random_trimmed_mean,10,5,2,1,0.7005197026592819,0.12782078182290296,0.6994286783509873,0.5065733117841096,0.8733243908601455,0.7672358805044659,0.041981497791669056,0.7712739797637963,0.6946489936180658,0.8225556130367304,0.7479796409353628,0.03613259264992689,0.7505629980306521,0.6916069285581724,0.7969475220105079,0.737583416950611,0.051856966248647586,0.7420164788600541,0.6478868266607551,0.8106934388648712,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,clean,fedle_adapted,10,5,2,0,0.6892877888553142,0.14438324750261605,0.6730203691708005,0.5243163480692766,1.0372229311624372,0.7731837923900071,0.048546679809240136,0.7803384123842299,0.6715758468335787,0.8260869565217391,0.758940477286332,0.04322204103012348,0.7523769792181126,0.685740902464418,0.8290067712079213,0.7522868189287886,0.05007775148890471,0.7416460920109902,0.6848979778429731,0.83464959571285,21.4,2.756809750418044,21.5,16.0,25.0,0.22697983284650447,0.03328385286895785,0.223248676757993,0.15900463179040764,0.2701642703163318,0.07951123344089633,0.0029174351667062177,0.07992693834313036,0.0744176579573751,0.0827338390358747,17.33654838719105,0.4834336019331841,17.266516733370874,16.63188258787428,18.25251404315732,0.9193718020884261,0.022043128664219907,0.9197717122982952,0.8702841477742483,0.9553265425538267,5954.6,69.01400823987355,5940.5,5851.0,6065.0
1.0,clean,tea_fl,10,5,2,1,1.0258228722448035,0.3778293200827747,0.9285751253111871,0.5740585172355206,1.573554545196544,0.7256278089728491,0.07330774734920206,0.7216172110907052,0.5792832596956309,0.7982410760475944,0.6878829854028108,0.05984640844279827,0.6933895313746647,0.5657103607691659,0.7538553266639507,0.660299144576747,0.07040477761170369,0.660148556770251,0.5278777780424924,0.7374395574805748,15.3,1.888562063228706,15.0,13.0,18.0,0.2962852031110665,0.028662836263802335,0.29257755511235495,0.26006775834127227,0.3433386951062584,0.08167302681325926,0.004464569659068029,0.08166256720968998,0.07480793607320066,0.09178647708480694,15.395998019783315,0.44340033130394313,15.44589225388822,14.464572469994023,16.198054223319968,0.726126617429487,0.037694712982661506,0.7364251413551126,0.6681812107443539,0.7671726809808302,5176.9,131.6193585896678,5208.0,4894.0,5327.0
1.0,clean,arl_fl,10,5,2,0,0.7551167838386512,0.20308913954290375,0.7382626403790516,0.5195505079199968,1.0887144063697707,0.760796536186447,0.056733574011236645,0.7782409222536335,0.6529209621993127,0.8173741362290227,0.736286155332687,0.04736019829696631,0.7436767228041503,0.6448321925170823,0.8015058236355558,0.7227868413813775,0.061777003450382034,0.7259950668703072,0.6009695772909611,0.801066475476829,24.8,1.1352924243950935,25.0,22.0,26.0,0.2644384440621603,0.03206898659170674,0.26760455467481725,0.19492542333354138,0.3021185226584252,0.08313795435302279,0.005985445232708496,0.08253503190345324,0.0736775811569566,0.09240799551006644,16.287707273152687,0.42901577384403144,16.24846008271484,15.61873729853335,17.246731879949575,0.8464117683264527,0.018482792645634575,0.8450897932589071,0.8187828792499949,0.8841537543378793,5538.7,45.4387255298581,5532.5,5443.0,5606.0
1.0,signflip_mu0p2,fedavg,10,5,2,1,21.896162512816577,13.424387611720979,19.98191430612154,2.200102609801975,45.1441318709306,0.1317836961872308,0.09004245303250452,0.09883464058378025,0.04397309881013968,0.35538005923000987,0.11406034377623771,0.07358567220970126,0.08333333333333333,0.08333333333333333,0.31102138535423784,0.039247501437356266,0.06158544220493885,0.014988700828088477,0.007020151965642551,0.20919341732576455,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,signflip_mu0p2,fedprox,10,5,2,1,21.310255598285046,14.01932750794603,18.396289053524256,1.8780100782202356,45.30356784561657,0.11657508963734062,0.10369385133476904,0.0952247550745982,0.0039273441335297005,0.3923988153998026,0.1015662575230987,0.08448134641861804,0.08333333333333333,0.0027265407700190307,0.3298950996622053,0.0372632559761111,0.06621044403121575,0.014490867841073743,0.0011139072147029706,0.22179888441655046,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,signflip_mu0p2,random_trimmed_mean,10,5,2,1,1.1994113987469892,0.43593316999362985,1.081215054603165,0.7296946200543071,2.131511787540578,0.654686105625675,0.08259800531472243,0.6518217934583714,0.5115365733922435,0.7843040473840079,0.6347385028059059,0.08109900240447211,0.6234800603250987,0.4929861653123258,0.7465002526685697,0.5972474744613734,0.10229932756270887,0.5814180844820526,0.4259624554044392,0.7492853174720824,19.1,3.4140233677518315,19.5,12.0,23.0,0.2261716510613875,0.02626534843173192,0.22649775819355397,0.1779288855355418,0.2673227074728961,0.0774727922539756,0.004205087284815987,0.07561598735988573,0.07257023593012707,0.08399092364374805,17.359177477174327,0.34186318996524684,17.379897880617506,16.593020123728166,17.825935601926933,0.9795144310449322,0.006516209469208614,0.9792299638160118,0.9695089437200058,0.9910311679302314,5983.9,94.1823880681639,6015.0,5762.0,6104.0
1.0,signflip_mu0p2,fedle_adapted,10,5,2,0,21.52446830035819,13.88502851188872,18.420052012861305,3.0038500232263474,42.51638560726227,0.10232401798647026,0.032768855622646066,0.09883464058378025,0.05225038799793068,0.16781836130306022,0.09107896128492718,0.024013755436596205,0.08333333333333333,0.08333333333333333,0.15941220238095238,0.0198175520182688,0.01419426971805309,0.014988700828088477,0.008275975090134382,0.05718788029974478,21.4,2.756809750418044,21.5,16.0,25.0,0.22697983284650447,0.03328385286895785,0.223248676757993,0.15900463179040764,0.2701642703163318,0.07951123344089633,0.0029174351667062177,0.07992693834313036,0.0744176579573751,0.0827338390358747,17.33654838719105,0.4834336019331841,17.266516733370874,16.63188258787428,18.25251404315732,0.9193718020884261,0.022043128664219907,0.9197717122982952,0.8702841477742483,0.9553265425538267,5954.6,69.01400823987355,5940.5,5851.0,6065.0
